p_s p_d d k L L2 K1 K2 E_S E_D E_I f_A_orig f_A_mut
0.05 0.05 0.1 21 1000000 1050322 999980 1050302 18648 18545 29628 399295 394339
0.05 0.05 0.1 21 1000000 1050013 999980 1049993 19280 18648 29656 399295 394612
0.05 0.05 0.1 21 1000000 1049377 999980 1049357 19605 18379 30329 399295 394381
0.05 0.1 0.01 21 1000000 909901 999980 909881 32733 65561 5415 399295 351859
0.05 0.1 0.01 21 1000000 909813 999980 909793 33225 67374 5456 399295 351682
0.05 0.1 0.01 21 1000000 909720 999980 909700 32859 66447 5489 399295 351855
0.05 0.1 0.01 21 1000000 910076 999980 910056 33475 65487 5614 399295 352293
0.05 0.1 0.01 21 1000000 909975 999980 909955 33195 66363 5514 399295 351920
0.05 0.1 0.05 21 1000000 949745 999980 949725 15244 30162 11852 399295 361693
0.05 0.1 0.05 21 1000000 950078 999980 950058 15651 30597 11738 399295 361764
0.05 0.1 0.05 21 1000000 950217 999980 950197 14855 30187 12384 399295 362197
0.05 0.1 0.05 21 1000000 949600 999980 949580 15315 30608 11641 399295 361748
0.05 0.1 0.05 21 1000000 949882 999980 949862 15376 30910 11948 399295 361799
0.05 0.1 0.1 21 1000000 999337 999980 999317 5926 11832 8502 399295 374202
0.05 0.1 0.1 21 1000000 999725 999980 999705 6109 12313 8683 399295 374287
0.05 0.1 0.1 21 1000000 1000009 999980 999989 6120 12301 8847 399295 374114
0.05 0.1 0.1 21 1000000 999675 999980 999655 6128 12343 8650 399295 374502
0.05 0.1 0.1 21 1000000 999274 999980 999254 6227 11534 8825 399295 374444
0.1 0.01 0.01 21 1000000 999885 999980 999865 165503 17335 13798 399295 377640
0.1 0.01 0.01 21 1000000 1000026 999980 1000006 167735 17356 13564 399295 377823
0.1 0.01 0.01 21 1000000 999909 999980 999889 165414 17400 14025 399295 377960
0.1 0.01 0.01 21 1000000 999979 999980 999959 168438 16322 14478 399295 378043
0.1 0.01 0.01 21 1000000 999669 999980 999649 166975 17291 14139 399295 377688
0.1 0.01 0.05 21 1000000 1039729 999980 1039709 77114 7824 30499 399295 387451
0.1 0.01 0.05 21 1000000 1039626 999980 1039606 78043 8196 30726 399295 387795
0.1 0.01 0.05 21 1000000 1040046 999980 1040026 76225 7840 31626 399295 387950
0.1 0.01 0.05 21 1000000 1039974 999980 1039954 77220 7552 31008 399295 387687
0.1 0.01 0.05 21 1000000 1040024 999980 1040004 77764 7618 31974 399295 387842
0.1 0.01 0.1 21 1000000 1089321 999980 1089301 30066 2999 22123 399295 400054
0.1 0.01 0.1 21 1000000 1089760 999980 1089740 31497 3001 23011 399295 400531
0.1 0.01 0.1 21 1000000 1090224 999980 1090204 30049 2886 23146 399295 400416
0.1 0.01 0.1 21 1000000 1090483 999980 1090463 29497 3032 23234 399295 400390
0.1 0.01 0.1 21 1000000 1089065 999980 1089045 30575 2905 24099 399295 400089
0.1 0.05 0.01 21 1000000 960096 999980 960076 65535 32759 5415 399295 361845
0.1 0.05 0.01 21 1000000 959834 999980 959814 66207 34414 5397 399295 361754
0.1 0.05 0.01 21 1000000 959824 999980 959804 67557 33674 5217 399295 361943
0.1 0.05 0.01 21 1000000 959682 999980 959662 67148 33614 5583 399295 361876
0.1 0.05 0.01 21 1000000 959794 999980 959774 65705 33917 5474 399295 361790
0.1 0.05 0.05 21 1000000 999940 999980 999920 30554 14852 11852 399295 371656
0.1 0.05 0.05 21 1000000 999461 999980 999441 31017 16113 11416 399295 371797
0.1 0.05 0.05 21 1000000 999958 999980 999938 31494 15394 12072 399295 371896
0.1 0.05 0.05 21 1000000 999639 999980 999619 30762 15629 11576 399295 371600
0.1 0.05 0.05 21 1000000 999616 999980 999596 31415 15349 12122 399295 371832
0.1 0.05 0.1 21 1000000 1049532 999980 1049512 11857 5901 8502 399295 384259
0.1 0.05 0.1 21 1000000 1049573 999980 1049553 12237 6069 8400 399295 384334
0.1 0.05 0.1 21 1000000 1050034 999980 1050014 11957 5832 8803 399295 384566
0.1 0.05 0.1 21 1000000 1050148 999980 1050128 11918 6161 9062 399295 384305
0.1 0.05 0.1 21 1000000 1049088 999980 1049068 12069 6030 9001 399295 384165
0.1 0.1 0.01 21 1000000 909975 999980 909955 19596 18916 1413 399295 341881
0.1 0.1 0.01 21 1000000 910277 999980 910257 20088 19914 1471 399295 341838
0.1 0.1 0.01 21 1000000 910000 999980 909980 20352 19766 1491 399295 341986
0.1 0.1 0.01 21 1000000 909487 999980 909467 19236 19757 1586 399295 341797
0.1 0.1 0.01 21 1000000 909244 999980 909224 19513 19966 1637 399295 341505
0.1 0.1 0.05 21 1000000 949819 999980 949799 9140 8443 3261 399295 351692
0.1 0.1 0.05 21 1000000 949941 999980 949921 9345 9455 3302 399295 352202
0.1 0.1 0.05 21 1000000 950064 999980 950044 9746 8939 3290 399295 351969
0.1 0.1 0.05 21 1000000 949438 999980 949418 8893 9163 3128 399295 351593
0.1 0.1 0.05 21 1000000 949824 999980 949804 9520 8886 3215 399295 352095
0.1 0.1 0.1 21 1000000 999411 999980 999391 3568 3468 2405 399295 364295
0.1 0.1 0.1 21 1000000 999869 999980 999849 3632 3854 2399 399295 364586
0.1 0.1 0.1 21 1000000 999912 999980 999892 3385 3605 2592 399295 364544
0.1 0.1 0.1 21 1000000 1000606 999980 1000586 3759 3603 2551 399295 364400
0.1 0.1 0.1 21 1000000 998638 999980 998618 3471 3614 2741 399295 364258
0.01 0.01 0.01 31 10000 9989 9970 9959 1247 1390 1224 4029 3984
0.01 0.01 0.01 31 10000 9988 9970 9958 1361 1484 1142 4029 3987
0.01 0.01 0.01 31 10000 10017 9970 9987 1334 906 1244 4029 4005
0.01 0.01 0.01 31 10000 10008 9970 9978 1213 1046 927 4029 3988
0.01 0.01 0.01 31 10000 10006 9970 9976 1149 1158 1298 4029 4006
0.01 0.01 0.05 31 10000 10410 9970 10380 320 398 1501 4029 4082
0.01 0.01 0.05 31 10000 10368 9970 10338 303 407 1976 4029 4099
0.01 0.01 0.05 31 10000 10405 9970 10375 447 373 1781 4029 4102
0.01 0.01 0.05 31 10000 10429 9970 10399 269 361 1741 4029 4090
0.01 0.01 0.05 31 10000 10400 9970 10370 423 394 1944 4029 4112
0.01 0.01 0.1 31 10000 10903 9970 10873 99 121 892 4029 4206
0.01 0.01 0.1 31 10000 10861 9970 10831 112 141 865 4029 4214
0.01 0.01 0.1 31 10000 10910 9970 10880 61 95 684 4029 4232
0.01 0.01 0.1 31 10000 10926 9970 10896 72 139 843 4029 4236
0.01 0.01 0.1 31 10000 10934 9970 10904 105 64 836 4029 4216
0.01 0.05 0.01 31 10000 9542 9970 9512 233 1626 245 4029 3796
0.01 0.05 0.01 31 10000 9568 9970 9538 433 1666 304 4029 3836
0.01 0.05 0.01 31 10000 9611 9970 9581 471 1830 335 4029 3843
0.01 0.05 0.01 31 10000 9605 9970 9575 479 1586 227 4029 3807
0.01 0.05 0.01 31 10000 9612 9970 9582 281 2012 301 4029 3860
0.01 0.05 0.05 31 10000 9963 9970 9933 73 467 367 4029 3894
0.01 0.05 0.05 31 10000 9990 9970 9960 75 692 696 4029 3944
0.01 0.05 0.05 31 10000 10001 9970 9971 151 616 508 4029 3945
0.01 0.05 0.05 31 10000 10019 9970 9989 80 487 455 4029 3914
0.01 0.05 0.05 31 10000 10011 9970 9981 97 655 465 4029 3965
0.01 0.05 0.1 31 10000 10456 9970 10426 11 92 194 4029 4018
0.01 0.05 0.1 31 10000 10440 9970 10410 36 219 220 4029 4044
0.01 0.05 0.1 31 10000 10500 9970 10470 4 176 191 4029 4064
0.01 0.05 0.1 31 10000 10506 9970 10476 9 114 212 4029 4056
0.01 0.05 0.1 31 10000 10549 9970 10519 48 101 258 4029 4062
0.01 0.1 0.01 31 10000 9006 9970 8976 27 625 41 4029 3592
0.01 0.1 0.01 31 10000 9046 9970 9016 78 600 68 4029 3636
0.01 0.1 0.01 31 10000 9100 9970 9070 51 812 38 4029 3623
0.01 0.1 0.01 31 10000 9070 9970 9040 107 569 38 4029 3598
0.01 0.1 0.01 31 10000 9120 9970 9090 53 802 40 4029 3663
0.01 0.1 0.05 31 10000 9427 9970 9397 3 238 40 4029 3690
0.01 0.1 0.05 31 10000 9474 9970 9444 26 197 153 4029 3737
0.01 0.1 0.05 31 10000 9500 9970 9470 13 264 39 4029 3755
0.01 0.1 0.05 31 10000 9507 9970 9477 3 191 64 4029 3713
0.01 0.1 0.05 31 10000 9522 9970 9492 3 285 89 4029 3771
0.01 0.1 0.1 31 10000 9920 9970 9890 0 70 29 4029 3814
0.01 0.1 0.1 31 10000 9906 9970 9876 7 66 62 4029 3824
0.01 0.1 0.1 31 10000 9995 9970 9965 0 66 78 4029 3842
0.01 0.1 0.1 31 10000 10008 9970 9978 0 20 18 4029 3838
0.01 0.1 0.1 31 10000 10044 9970 10014 3 70 21 4029 3852
0.05 0.01 0.01 31 10000 9995 9970 9965 1469 390 245 4029 3879
0.05 0.01 0.01 31 10000 9992 9970 9962 1764 346 303 4029 3908
0.05 0.01 0.01 31 10000 9990 9970 9960 1934 351 361 4029 3924
0.05 0.01 0.01 31 10000 10011 9970 9981 1763 269 279 4029 3930
0.05 0.01 0.01 31 10000 9989 9970 9959 1947 367 270 4029 3908
0.05 0.01 0.05 31 10000 10416 9970 10386 408 132 367 4029 3978
0.05 0.01 0.05 31 10000 10391 9970 10361 598 240 421 4029 4051
0.05 0.01 0.05 31 10000 10367 9970 10337 628 85 503 4029 4046
0.05 0.01 0.05 31 10000 10416 9970 10386 534 68 488 4029 3994
0.05 0.01 0.05 31 10000 10416 9970 10386 514 187 456 4029 3996
0.05 0.01 0.1 31 10000 10909 9970 10879 83 20 194 4029 4093
0.05 0.01 0.1 31 10000 10888 9970 10858 87 40 296 4029 4135
0.05 0.01 0.1 31 10000 10865 9970 10835 163 17 243 4029 4114
0.05 0.01 0.1 31 10000 10927 9970 10897 124 0 187 4029 4129
0.05 0.01 0.1 31 10000 10956 9970 10926 117 12 298 4029 4156
0.05 0.05 0.01 31 10000 9567 9970 9537 384 514 48 4029 3726
0.05 0.05 0.01 31 10000 9561 9970 9531 538 346 70 4029 3736
0.05 0.05 0.01 31 10000 9582 9970 9552 477 529 96 4029 3760
0.05 0.05 0.01 31 10000 9611 9970 9581 481 539 43 4029 3767
0.05 0.05 0.01 31 10000 9559 9970 9529 417 465 58 4029 3748
0.05 0.05 0.05 31 10000 9988 9970 9958 123 188 61 4029 3825
0.05 0.05 0.05 31 10000 9957 9970 9927 188 101 110 4029 3870
0.05 0.05 0.05 31 10000 9961 9970 9931 133 198 72 4029 3881
0.05 0.05 0.05 31 10000 9985 9970 9955 169 142 64 4029 3822
0.05 0.05 0.05 31 10000 9999 9970 9969 79 254 96 4029 3818
0.05 0.05 0.1 31 10000 10481 9970 10451 26 53 35 4029 3940
0.05 0.05 0.1 31 10000 10474 9970 10444 15 27 63 4029 3974
0.05 0.05 0.1 31 10000 10470 9970 10440 22 33 29 4029 3960
0.05 0.05 0.1 31 10000 10542 9970 10512 20 7 39 4029 3975
0.05 0.05 0.1 31 10000 10559 9970 10529 6 59 40 4029 3993
0.05 0.1 0.01 31 10000 9073 9970 9043 61 161 7 4029 3525
0.05 0.1 0.01 31 10000 9073 9970 9043 111 161 6 4029 3553
0.05 0.1 0.01 31 10000 9067 9970 9037 96 160 18 4029 3568
0.05 0.1 0.01 31 10000 9098 9970 9068 41 141 2 4029 3539
0.05 0.1 0.01 31 10000 9082 9970 9052 99 160 16 4029 3555
0.05 0.1 0.05 31 10000 9494 9970 9464 2 69 6 4029 3624
0.05 0.1 0.05 31 10000 9462 9970 9432 54 33 21 4029 3677
0.05 0.1 0.05 31 10000 9447 9970 9417 30 39 9 4029 3664
0.05 0.1 0.05 31 10000 9453 9970 9423 39 50 11 4029 3605
0.05 0.1 0.05 31 10000 9503 9970 9473 12 77 0 4029 3608
0.05 0.1 0.1 31 10000 9987 9970 9957 2 10 12 4029 3739
0.05 0.1 0.1 31 10000 9976 9970 9946 2 8 12 4029 3782
0.05 0.1 0.1 31 10000 9955 9970 9925 5 2 4 4029 3748
0.05 0.1 0.1 31 10000 10030 9970 10000 0 0 10 4029 3761
0.05 0.1 0.1 31 10000 10066 9970 10036 1 23 2 4029 3804
0.1 0.01 0.01 31 10000 9986 9970 9956 621 31 41 4029 3789
0.1 0.01 0.01 31 10000 9993 9970 9963 578 68 67 4029 3795
0.1 0.01 0.01 31 10000 10012 9970 9982 745 87 34 4029 3797
0.1 0.01 0.01 31 10000 10005 9970 9975 707 55 55 4029 3808
0.1 0.01 0.01 31 10000 10008 9970 9978 697 64 69 4029 3808
0.1 0.01 0.05 31 10000 10407 9970 10377 234 7 40 4029 3883
0.1 0.01 0.05 31 10000 10395 9970 10365 194 16 90 4029 3957
0.1 0.01 0.05 31 10000 10391 9970 10361 278 46 52 4029 3908
0.1 0.01 0.05 31 10000 10414 9970 10384 250 11 44 4029 3924
0.1 0.01 0.05 31 10000 10436 9970 10406 234 43 59 4029 3937
0.1 0.01 0.1 31 10000 10900 9970 10870 70 0 29 4029 4008
0.1 0.01 0.1 31 10000 10894 9970 10864 36 5 43 4029 4051
0.1 0.01 0.1 31 10000 10933 9970 10903 68 5 54 4029 4035
0.1 0.01 0.1 31 10000 10906 9970 10876 33 0 52 4029 4021
0.1 0.01 0.1 31 10000 10890 9970 10860 64 1 51 4029 4050
0.1 0.05 0.01 31 10000 9600 9970 9570 200 22 7 4029 3639
0.1 0.05 0.01 31 10000 9597 9970 9567 161 90 5 4029 3642
0.1 0.05 0.01 31 10000 9597 9970 9567 151 81 18 4029 3636
0.1 0.05 0.01 31 10000 9608 9970 9578 104 69 5 4029 3643
0.1 0.05 0.01 31 10000 9627 9970 9597 173 113 18 4029 3664
0.1 0.05 0.05 31 10000 10021 9970 9991 64 7 6 4029 3733
0.1 0.05 0.05 31 10000 9999 9970 9969 79 15 27 4029 3798
0.1 0.05 0.05 31 10000 9973 9970 9943 30 24 9 4029 3762
0.1 0.05 0.05 31 10000 10006 9970 9976 85 12 10 4029 3776
0.1 0.05 0.05 31 10000 10035 9970 10005 71 28 0 4029 3784
0.1 0.05 0.1 31 10000 10514 9970 10484 12 0 12 4029 3858
0.1 0.05 0.1 31 10000 10491 9970 10461 14 0 12 4029 3884
0.1 0.05 0.1 31 10000 10515 9970 10485 25 0 16 4029 3877
0.1 0.05 0.1 31 10000 10496 9970 10466 10 5 18 4029 3846
0.1 0.05 0.1 31 10000 10508 9970 10478 8 3 11 4029 3894
0.1 0.1 0.01 31 10000 9094 9970 9064 41 20 0 4029 3444
0.1 0.1 0.01 31 10000 9109 9970 9079 25 44 0 4029 3448
0.1 0.1 0.01 31 10000 9118 9970 9088 22 36 4 4029 3436
0.1 0.1 0.01 31 10000 9100 9970 9070 12 16 3 4029 3443
0.1 0.1 0.01 31 10000 9128 9970 9098 23 19 0 4029 3469
0.1 0.1 0.05 31 10000 9515 9970 9485 5 12 0 4029 3538
0.1 0.1 0.05 31 10000 9513 9970 9483 21 11 6 4029 3621
0.1 0.1 0.05 31 10000 9476 9970 9446 5 18 1 4029 3556
0.1 0.1 0.05 31 10000 9531 9970 9501 31 3 5 4029 3583
0.1 0.1 0.05 31 10000 9559 9970 9529 9 14 0 4029 3601
0.1 0.1 0.1 31 10000 10008 9970 9978 3 2 4 4029 3663
0.1 0.1 0.1 31 10000 9977 9970 9947 6 0 0 4029 3670
0.1 0.1 0.1 31 10000 9999 9970 9969 8 0 0 4029 3655
0.1 0.1 0.1 31 10000 10011 9970 9981 0 7 0 4029 3649
0.1 0.1 0.1 31 10000 10012 9970 9982 0 1 0 4029 3673
0.01 0.01 0.01 31 100000 99996 99970 99966 12717 12059 11770 39983 39595
0.01 0.01 0.01 31 100000 99989 99970 99959 12382 12753 11702 39983 39703
0.01 0.01 0.01 31 100000 100032 99970 100002 12935 12588 11679 39983 39639
0.01 0.01 0.01 31 100000 100037 99970 100007 12092 12663 12054 39983 39610
0.01 0.01 0.01 31 100000 99943 99970 99913 13353 12640 10803 39983 39565
0.01 0.01 0.05 31 100000 103968 99970 103938 3963 3727 18134 39983 40563
0.01 0.01 0.05 31 100000 104187 99970 104157 3850 3700 18066 39983 40661
0.01 0.01 0.05 31 100000 104085 99970 104055 4122 3932 17363 39983 40623
0.01 0.01 0.05 31 100000 104008 99970 103978 3996 3775 17740 39983 40685
0.01 0.01 0.05 31 100000 103975 99970 103945 3497 4356 18428 39983 40668
0.01 0.01 0.1 31 100000 108886 99970 108856 1070 854 8570 39983 41852
0.01 0.01 0.1 31 100000 109230 99970 109200 1030 904 7721 39983 41940
0.01 0.01 0.1 31 100000 109086 99970 109056 1030 889 7558 39983 41912
0.01 0.01 0.1 31 100000 109081 99970 109051 934 796 8573 39983 41918
0.01 0.01 0.1 31 100000 108934 99970 108904 980 980 8127 39983 41896
0.01 0.05 0.01 31 100000 95992 99970 95962 3720 18387 3386 39983 37978
0.01 0.05 0.01 31 100000 95938 99970 95908 3310 17891 3241 39983 38116
0.01 0.05 0.01 31 100000 96047 99970 96017 3526 17193 3244 39983 38052
0.01 0.05 0.01 31 100000 96073 99970 96043 3523 17566 3540 39983 37993
0.01 0.05 0.01 31 100000 95881 99970 95851 3735 18137 2849 39983 37924
0.01 0.05 0.05 31 100000 99964 99970 99934 1217 5750 4899 39983 38946
0.01 0.05 0.05 31 100000 100327 99970 100297 1190 5319 5214 39983 39082
0.01 0.05 0.05 31 100000 100123 99970 100093 1214 5146 4855 39983 39063
0.01 0.05 0.05 31 100000 100118 99970 100088 1205 5366 5067 39983 39125
0.01 0.05 0.05 31 100000 99970 99970 99940 930 5556 4981 39983 39019
0.01 0.05 0.1 31 100000 104882 99970 104852 382 1394 2448 39983 40235
0.01 0.05 0.1 31 100000 105364 99970 105334 261 1199 2139 39983 40368
0.01 0.05 0.1 31 100000 105102 99970 105072 225 1204 2416 39983 40370
0.01 0.05 0.1 31 100000 105213 99970 105183 283 1268 2385 39983 40496
0.01 0.05 0.1 31 100000 104900 99970 104870 348 1338 2177 39983 40300
0.01 0.1 0.01 31 100000 90972 99970 90942 750 6936 523 39983 35936
0.01 0.1 0.01 31 100000 90793 99970 90763 600 6450 551 39983 36055
0.01 0.1 0.01 31 100000 91115 99970 91085 643 7262 713 39983 36133
0.01 0.1 0.01 31 100000 90945 99970 90915 588 6291 687 39983 35923
0.01 0.1 0.01 31 100000 90922 99970 90892 670 7377 469 39983 35975
0.01 0.1 0.05 31 100000 94944 99970 94914 224 2046 813 39983 36904
0.01 0.1 0.05 31 100000 95380 99970 95350 265 1851 849 39983 37142
0.01 0.1 0.05 31 100000 95172 99970 95142 227 2222 985 39983 37081
0.01 0.1 0.05 31 100000 95144 99970 95114 216 2232 876 39983 37138
0.01 0.1 0.05 31 100000 94996 99970 94966 128 2364 775 39983 37087
0.01 0.1 0.1 31 100000 99862 99970 99832 48 530 498 39983 38193
0.01 0.1 0.1 31 100000 100395 99970 100365 48 410 347 39983 38388
0.01 0.1 0.1 31 100000 100058 99970 100028 28 521 293 39983 38352
0.01 0.1 0.1 31 100000 100261 99970 100231 58 563 404 39983 38501
0.01 0.1 0.1 31 100000 99881 99970 99851 40 570 486 39983 38285
0.05 0.01 0.01 31 100000 99950 99970 99920 17903 4204 3386 39983 38810
0.05 0.01 0.01 31 100000 100067 99970 100037 18030 3779 3568 39983 38937
0.05 0.01 0.01 31 100000 100058 99970 100028 17151 3502 3258 39983 38792
0.05 0.01 0.01 31 100000 100077 99970 100047 17903 3298 3648 39983 38809
0.05 0.01 0.01 31 100000 99994 99970 99964 17858 3572 3493 39983 38842
0.05 0.01 0.05 31 100000 103922 99970 103892 5655 1312 4899 39983 39701
0.05 0.01 0.05 31 100000 103914 99970 103884 5767 1414 5102 39983 39893
0.05 0.01 0.05 31 100000 104035 99970 104005 5445 934 4865 39983 39828
0.05 0.01 0.05 31 100000 103989 99970 103959 5620 1122 5131 39983 39847
0.05 0.01 0.05 31 100000 103846 99970 103816 5780 1307 4818 39983 39821
0.05 0.01 0.1 31 100000 108840 99970 108810 1464 312 2448 39983 40980
0.05 0.01 0.1 31 100000 109213 99970 109183 1211 305 2157 39983 41229
0.05 0.01 0.1 31 100000 109150 99970 109120 1192 207 2453 39983 41146
0.05 0.01 0.1 31 100000 109007 99970 108977 1241 188 2359 39983 41024
0.05 0.01 0.1 31 100000 109061 99970 109031 1182 250 2198 39983 41028
0.05 0.05 0.01 31 100000 95949 99970 95919 4776 5118 723 39983 37207
0.05 0.05 0.01 31 100000 96098 99970 96068 4531 5107 965 39983 37288
0.05 0.05 0.01 31 100000 95996 99970 95966 4205 4977 820 39983 37158
0.05 0.05 0.01 31 100000 95941 99970 95911 4514 4283 1024 39983 37136
0.05 0.05 0.01 31 100000 96046 99970 96016 4911 5128 819 39983 37224
0.05 0.05 0.05 31 100000 99921 99970 99891 1492 1538 1261 39983 38098
0.05 0.05 0.05 31 100000 99742 99970 99712 1395 1431 1307 39983 38216
0.05 0.05 0.05 31 100000 100041 99970 100011 1506 1454 1361 39983 38284
0.05 0.05 0.05 31 100000 100068 99970 100038 1553 1533 1255 39983 38293
0.05 0.05 0.05 31 100000 99858 99970 99828 1425 1621 1291 39983 38175
0.05 0.05 0.1 31 100000 104839 99970 104809 370 421 722 39983 39377
0.05 0.05 0.1 31 100000 105225 99970 105195 312 335 490 39983 39621
0.05 0.05 0.1 31 100000 105112 99970 105082 303 416 429 39983 39529
0.05 0.05 0.1 31 100000 104907 99970 104877 314 323 626 39983 39365
0.05 0.05 0.1 31 100000 105110 99970 105080 289 414 507 39983 39499
0.05 0.1 0.01 31 100000 91063 99970 91033 935 1966 142 39983 35173
0.05 0.1 0.01 31 100000 91214 99970 91184 835 1994 109 39983 35308
0.05 0.1 0.01 31 100000 91055 99970 91025 673 1694 119 39983 35263
0.05 0.1 0.01 31 100000 90950 99970 90920 801 1620 231 39983 35128
0.05 0.1 0.01 31 100000 91026 99970 90996 1013 1829 97 39983 35159
0.05 0.1 0.05 31 100000 95035 99970 95005 282 626 171 39983 36064
0.05 0.1 0.05 31 100000 94718 99970 94688 221 485 303 39983 36206
0.05 0.1 0.05 31 100000 95113 99970 95083 213 513 194 39983 36261
0.05 0.1 0.05 31 100000 94855 99970 94825 299 551 249 39983 36199
0.05 0.1 0.05 31 100000 94812 99970 94782 213 658 265 39983 36223
0.05 0.1 0.1 31 100000 99953 99970 99923 64 129 136 39983 37343
0.05 0.1 0.1 31 100000 100307 99970 100277 65 145 81 39983 37664
0.05 0.1 0.1 31 100000 100106 99970 100076 61 129 66 39983 37534
0.05 0.1 0.1 31 100000 99865 99970 99835 52 169 101 39983 37371
0.05 0.1 0.1 31 100000 100194 99970 100164 58 142 68 39983 37577
0.1 0.01 0.01 31 100000 99972 99970 99942 6916 770 523 39983 37705
0.1 0.01 0.01 31 100000 100046 99970 100016 6213 730 540 39983 37824
0.1 0.01 0.01 31 100000 100079 99970 100049 6473 696 575 39983 37874
0.1 0.01 0.01 31 100000 99950 99970 99920 7147 759 641 39983 37866
0.1 0.01 0.01 31 100000 99901 99970 99871 7305 791 516 39983 37811
0.1 0.01 0.05 31 100000 103944 99970 103914 2078 192 813 39983 38644
0.1 0.01 0.05 31 100000 104152 99970 104122 1909 239 827 39983 38983
0.1 0.01 0.05 31 100000 104111 99970 104081 2213 155 773 39983 38779
0.1 0.01 0.05 31 100000 103921 99970 103891 2144 278 791 39983 38926
0.1 0.01 0.05 31 100000 104015 99970 103985 2249 200 746 39983 38812
0.1 0.01 0.1 31 100000 108862 99970 108832 528 50 498 39983 39999
0.1 0.01 0.1 31 100000 109159 99970 109129 450 54 342 39983 40116
0.1 0.01 0.1 31 100000 109182 99970 109152 550 34 300 39983 40018
0.1 0.01 0.1 31 100000 109074 99970 109044 567 78 406 39983 40165
0.1 0.01 0.1 31 100000 108882 99970 108852 515 90 495 39983 40155
0.1 0.05 0.01 31 100000 96105 99970 96075 1949 952 142 39983 36110
0.1 0.05 0.01 31 100000 95990 99970 95960 1466 934 238 39983 36201
0.1 0.05 0.01 31 100000 96065 99970 96035 1531 753 114 39983 36220
0.1 0.05 0.01 31 100000 95806 99970 95776 1737 949 168 39983 36210
0.1 0.05 0.01 31 100000 95918 99970 95888 2006 891 124 39983 36268
0.1 0.05 0.05 31 100000 100077 99970 100047 607 301 171 39983 37049
0.1 0.05 0.05 31 100000 100231 99970 100201 582 217 209 39983 37427
0.1 0.05 0.05 31 100000 100098 99970 100068 613 211 234 39983 37114
0.1 0.05 0.05 31 100000 99746 99970 99716 516 253 223 39983 37249
0.1 0.05 0.05 31 100000 100044 99970 100014 576 219 182 39983 37220
0.1 0.05 0.1 31 100000 104995 99970 104965 142 51 136 39983 38404
0.1 0.05 0.1 31 100000 105231 99970 105201 160 49 81 39983 38535
0.1 0.05 0.1 31 100000 105171 99970 105141 165 55 64 39983 38444
0.1 0.05 0.1 31 100000 104889 99970 104859 128 54 60 39983 38525
0.1 0.05 0.1 31 100000 104923 99970 104893 161 123 188 39983 38598
0.1 0.1 0.01 31 100000 91198 99970 91168 321 284 28 39983 34165
0.1 0.1 0.01 31 100000 91045 99970 91015 221 303 27 39983 34268
0.1 0.1 0.01 31 100000 91147 99970 91117 212 222 21 39983 34245
0.1 0.1 0.01 31 100000 90857 99970 90827 334 241 24 39983 34277
0.1 0.1 0.01 31 100000 91021 99970 90991 421 259 8 39983 34323
0.1 0.1 0.05 31 100000 95170 99970 95140 94 118 53 39983 35104
0.1 0.1 0.05 31 100000 95089 99970 95059 113 98 63 39983 35388
0.1 0.1 0.05 31 100000 95171 99970 95141 88 78 27 39983 35180
0.1 0.1 0.05 31 100000 94777 99970 94747 100 91 50 39983 35316
0.1 0.1 0.05 31 100000 95031 99970 95001 98 50 24 39983 35196
0.1 0.1 0.1 31 100000 100088 99970 100058 25 30 19 39983 36459
0.1 0.1 0.1 31 100000 100092 99970 100062 55 31 14 39983 36455
0.1 0.1 0.1 31 100000 100243 99970 100213 16 30 9 39983 36439
0.1 0.1 0.1 31 100000 99966 99970 99936 18 27 13 39983 36598
0.1 0.1 0.1 31 100000 100039 99970 100009 26 23 37 39983 36652
0.01 0.01 0.01 31 1000000 1000102 999970 1000072 126173 125098 116130 399295 395866
0.01 0.01 0.01 31 1000000 999865 999970 999835 126693 127283 115705 399295 395894
0.01 0.01 0.01 31 1000000 1000364 999970 1000334 127423 122206 117978 399295 396083
0.01 0.01 0.01 31 1000000 999919 999970 999889 124105 125868 120137 399295 395938
0.01 0.01 0.01 31 1000000 999941 999970 999911 124016 125281 118055 399295 395782
0.01 0.01 0.05 31 1000000 1039946 999970 1039916 38944 39947 175923 399295 405720
0.01 0.01 0.05 31 1000000 1039672 999970 1039642 39949 39424 176865 399295 405922
0.01 0.01 0.05 31 1000000 1040494 999970 1040464 39640 37410 177236 399295 405858
0.01 0.01 0.05 31 1000000 1039712 999970 1039682 40042 39110 176904 399295 405541
0.01 0.01 0.05 31 1000000 1039557 999970 1039527 38891 39336 176393 399295 405693
0.01 0.01 0.1 31 1000000 1089538 999970 1089508 9734 9865 84218 399295 418135
0.01 0.01 0.1 31 1000000 1089864 999970 1089834 10146 10185 83133 399295 418313
0.01 0.01 0.1 31 1000000 1090371 999970 1090341 9481 9358 83614 399295 418529
0.01 0.01 0.1 31 1000000 1090259 999970 1090229 9209 9512 83340 399295 418597
0.01 0.01 0.1 31 1000000 1089150 999970 1089120 9627 9680 84697 399295 417829
0.01 0.05 0.01 31 1000000 959871 999970 959841 36097 177981 32488 399295 379803
0.01 0.05 0.01 31 1000000 959841 999970 959811 36553 178893 32549 399295 379907
0.01 0.05 0.01 31 1000000 960381 999970 960351 36811 178584 32765 399295 380281
