p_s p_d d k L L2 K1 K2 E_S E_D E_I f_A_orig f_A_mut
0.05 0.1 0.05 21 10000 9462 9980 9442 212 245 107 4029 3677
0.05 0.1 0.05 21 10000 9447 9980 9427 139 278 111 4029 3664
0.05 0.1 0.05 21 10000 9453 9980 9433 143 296 69 4029 3605
0.05 0.1 0.05 21 10000 9503 9980 9483 81 344 92 4029 3608
0.05 0.1 0.1 21 10000 9987 9980 9967 42 110 42 4029 3739
0.05 0.1 0.1 21 10000 9976 9980 9956 59 131 86 4029 3782
0.05 0.1 0.1 21 10000 9955 9980 9935 62 110 56 4029 3748
0.05 0.1 0.1 21 10000 10030 9980 10010 52 65 70 4029 3761
0.05 0.1 0.1 21 10000 10066 9980 10046 35 147 91 4029 3804
0.1 0.01 0.01 21 10000 9986 9980 9966 1626 101 58 4029 3789
0.1 0.01 0.01 21 10000 9993 9980 9973 1544 156 198 4029 3795
0.1 0.01 0.01 21 10000 10012 9980 9992 1808 140 128 4029 3797
0.1 0.01 0.01 21 10000 10005 9980 9985 1830 126 136 4029 3808
0.1 0.01 0.01 21 10000 10008 9980 9988 1573 116 131 4029 3808
0.1 0.01 0.05 21 10000 10407 9980 10387 778 44 155 4029 3883
0.1 0.01 0.05 21 10000 10395 9980 10375 738 64 295 4029 3957
0.1 0.01 0.05 21 10000 10391 9980 10371 916 65 299 4029 3908
0.1 0.01 0.05 21 10000 10414 9980 10394 802 60 213 4029 3924
0.1 0.01 0.05 21 10000 10436 9980 10416 721 98 262 4029 3937
0.1 0.01 0.1 21 10000 10900 9980 10880 276 20 144 4029 4008
0.1 0.01 0.1 21 10000 10894 9980 10874 262 20 281 4029 4051
0.1 0.01 0.1 21 10000 10933 9980 10913 334 20 239 4029 4035
0.1 0.01 0.1 21 10000 10906 9980 10886 240 5 232 4029 4021
0.1 0.01 0.1 21 10000 10890 9980 10870 372 29 293 4029 4050
0.1 0.05 0.01 21 10000 9600 9980 9580 686 169 18 4029 3639
0.1 0.05 0.01 21 10000 9597 9980 9577 711 316 56 4029 3642
0.1 0.05 0.01 21 10000 9597 9980 9577 657 292 68 4029 3636
0.1 0.05 0.01 21 10000 9608 9980 9588 675 274 52 4029 3643
0.1 0.05 0.01 21 10000 9627 9980 9607 643 354 61 4029 3664
0.1 0.05 0.05 21 10000 10021 9980 10001 309 89 61 4029 3733
0.1 0.05 0.05 21 10000 9999 9980 9979 348 106 112 4029 3798
0.1 0.05 0.05 21 10000 9973 9980 9953 279 131 119 4029 3762
0.1 0.05 0.05 21 10000 10006 9980 9986 314 133 72 4029 3776
0.1 0.05 0.05 21 10000 10035 9980 10015 256 151 96 4029 3784
0.1 0.05 0.1 21 10000 10514 9980 10494 120 32 42 4029 3858
0.1 0.05 0.1 21 10000 10491 9980 10471 133 53 85 4029 3884
0.1 0.05 0.1 21 10000 10515 9980 10495 157 48 98 4029 3877
0.1 0.05 0.1 21 10000 10496 9980 10476 100 43 76 4029 3846
0.1 0.05 0.1 21 10000 10508 9980 10488 100 54 106 4029 3894
0.1 0.1 0.01 21 10000 9094 9980 9074 202 118 5 4029 3444
0.1 0.1 0.01 21 10000 9109 9980 9089 196 182 7 4029 3448
0.1 0.1 0.01 21 10000 9118 9980 9098 215 169 23 4029 3436
0.1 0.1 0.01 21 10000 9100 9980 9080 191 147 15 4029 3443
0.1 0.1 0.01 21 10000 9128 9980 9108 167 173 24 4029 3469
0.1 0.1 0.05 21 10000 9515 9980 9495 88 60 17 4029 3538
0.1 0.1 0.05 21 10000 9513 9980 9493 113 67 30 4029 3621
0.1 0.1 0.05 21 10000 9476 9980 9456 88 97 56 4029 3556
0.1 0.1 0.05 21 10000 9531 9980 9511 117 66 29 4029 3583
0.1 0.1 0.05 21 10000 9559 9980 9539 72 104 29 4029 3601
0.1 0.1 0.1 21 10000 10008 9980 9988 34 31 24 4029 3663
0.1 0.1 0.1 21 10000 9977 9980 9957 36 34 35 4029 3670
0.1 0.1 0.1 21 10000 9999 9980 9979 49 54 14 4029 3655
0.1 0.1 0.1 21 10000 10011 9980 9991 18 23 14 4029 3649
0.1 0.1 0.1 21 10000 10012 9980 9992 29 28 35 4029 3673
0.01 0.01 0.01 21 100000 99996 99980 99976 11572 11080 10548 39983 39595
0.01 0.01 0.01 21 100000 99989 99980 99969 11158 11750 10646 39983 39703
0.01 0.01 0.01 21 100000 100032 99980 100012 11768 11558 10673 39983 39639
0.01 0.01 0.01 21 100000 100037 99980 100017 11261 11465 10931 39983 39610
0.01 0.01 0.01 21 100000 99943 99980 99923 12263 11581 9715 39983 39565
0.01 0.01 0.05 21 100000 103968 99980 103948 5326 5152 23684 39983 40563
0.01 0.01 0.05 21 100000 104187 99980 104167 5119 5243 24034 39983 40661
0.01 0.01 0.05 21 100000 104085 99980 104065 5599 5226 23286 39983 40623
0.01 0.01 0.05 21 100000 104008 99980 103988 5302 5249 23587 39983 40685
0.01 0.01 0.05 21 100000 103975 99980 103955 4593 5770 24325 39983 40668
0.01 0.01 0.1 21 100000 108886 99980 108866 2162 1986 18012 39983 41852
0.01 0.01 0.1 21 100000 109230 99980 109210 2150 2051 17431 39983 41940
0.01 0.01 0.1 21 100000 109086 99980 109066 2224 2160 16714 39983 41912
0.01 0.01 0.1 21 100000 109081 99980 109061 2135 1834 17973 39983 41918
0.01 0.01 0.1 21 100000 108934 99980 108914 2191 2210 17261 39983 41896
0.01 0.05 0.01 21 100000 95992 99980 95972 5115 25363 4678 39983 37978
0.01 0.05 0.01 21 100000 95938 99980 95918 4776 24929 4344 39983 38116
0.01 0.05 0.01 21 100000 96047 99980 96027 5016 24693 4367 39983 38052
0.01 0.05 0.01 21 100000 96073 99980 96053 4979 25011 4754 39983 37993
0.01 0.05 0.01 21 100000 95881 99980 95861 5308 24889 3874 39983 37924
0.01 0.05 0.05 21 100000 99964 99980 99944 2390 11483 9859 39983 38946
0.01 0.05 0.05 21 100000 100327 99980 100307 2365 11100 10230 39983 39082
0.01 0.05 0.05 21 100000 100123 99980 100103 2413 11177 9705 39983 39063
0.01 0.05 0.05 21 100000 100118 99980 100098 2419 11546 10135 39983 39125
