0.01 0.01 0.01 11325 11294 10585 99980 99982 21 7480 0.005393935930043152 0.0053791710723097 0.0052935587117423485
0.01 0.01 0.01 11305 11108 11321 99980 100065 21 7561 0.005384410215376409 0.005290581925908991 0.005661632326465293
0.01 0.01 0.02 9150 9175 17455 99980 101015 21 6781 0.004358014460034864 0.0043699216033682925 0.008729245849169833
0.01 0.01 0.02 9446 9230 17564 99980 101064 21 7018 0.004498995037102659 0.0043961173187018355 0.00878375675135027
0.01 0.01 0.03 7719 7684 21208 99980 102000 21 6300 0.003676449575629412 0.0036597795749626115 0.01060612122424485
0.01 0.01 0.03 7556 7475 21809 99980 102089 21 6367 0.003598815001095457 0.0035602358566951486 0.010906681336267253
0.01 0.02 0.01 9314 18500 8608 99980 99014 21 6841 0.004436125320302155 0.008811286066737157 0.004304860972194439
0.01 0.02 0.01 9485 18028 9245 99980 99128 21 6976 0.004517570180702807 0.008586479200602026 0.0046234246849369874
0.01 0.02 0.02 7628 15205 14296 99980 100047 21 6221 0.0036331075738957317 0.007241924575391269 0.007149429885977196
0.01 0.02 0.02 7883 14908 14184 99980 100122 21 6475 0.003754560435896703 0.007100467712590137 0.0070934186837367475
0.01 0.02 0.03 6383 12583 17403 99980 101032 21 5758 0.0030401318358909877 0.005993103382581278 0.008703240648129626
0.01 0.02 0.03 6264 12017 17744 99980 101151 21 5858 0.0029834538336238675 0.005723525657512455 0.00887377475495099
0.01 0.03 0.01 7879 22876 6854 99980 98024 21 6283 0.0037526552929633547 0.010895512435820497 0.0034276855371074217
0.01 0.03 0.01 7633 22334 7592 99980 98142 21 6299 0.0036354890025624173 0.010637365568351766 0.0037967593518703742
0.01 0.03 0.02 6426 18650 11417 99980 99057 21 5696 0.003060612122424485 0.008882728926737728 0.005709641928385677
0.01 0.03 0.02 6264 18296 11470 99980 99136 21 5841 0.0029834538336238675 0.00871412377713638 0.005736147229445889
0.01 0.03 0.03 5363 15257 14010 99980 100042 21 5280 0.002554320387887101 0.0072666914335248 0.007006401280256051
0.01 0.03 0.03 4965 14603 14174 99980 100170 21 5277 0.002364758666018918 0.006955200563922308 0.007088417683536708
0.02 0.01 0.01 18567 9247 8608 99980 100005 21 13853 0.008843197210870745 0.004404214176168567 0.004304860972194439
0.02 0.01 0.01 19484 8752 8374 99980 100032 21 14247 0.009279951228340907 0.004168452738166681 0.004187837567513503
0.02 0.01 0.02 15110 7723 14296 99980 101038 21 12610 0.00719667743072424 0.00367835471856276 0.007149429885977196
0.02 0.01 0.02 15431 7311 14187 99980 101080 21 12609 0.0073495651511254634 0.003482124996427857 0.00709491898379676
0.02 0.01 0.03 12579 6387 17403 99980 102023 21 11667 0.00599119823964793 0.0030420369788243364 0.008703240648129626
0.02 0.01 0.03 12953 5875 16854 99980 102036 21 11777 0.006169329103916021 0.002798178683355719 0.00842868573714743
0.02 0.02 0.01 15587 15168 6854 99980 99015 21 12742 0.007423865725526058 0.007224302003257794 0.0034276855371074217
0.02 0.02 0.01 15547 15027 6668 99980 98968 21 12879 0.007404814296192572 0.007157145714857257 0.0033346669333866774
