p_s p_d d S D I K1 K2 k S_k_half S_norm D_norm, I_norm
0.01 0.01 0.03 789 802 2329 9980 10210 21 622 0.003764672201545949 0.003826701021089799 0.011668336673346694
0.01 0.01 0.03 700 928 1988 9980 10129 21 601 0.0033400133600534404 0.004427903425899418 0.009959919839679358
0.01 0.01 0.03 985 630 2062 9980 10176 21 774 0.0046998759423609125 0.003006012024048096 0.01033066132264529
0.01 0.01 0.03 820 834 2164 9980 10174 21 730 0.003912587078919744 0.0039793873461208135 0.010841683366733468
0.01 0.01 0.03 722 753 2097 9980 10169 21 659 0.003444985208512263 0.003592900085886058 0.010506012024048095
0.01 0.01 0.03 764 1075 2205 9980 10145 21 624 0.003645386010115469 0.005129306231510641 0.011047094188376754
0.01 0.01 0.03 787 935 1910 9980 10188 21 663 0.0037551293062315105 0.004461303559499952 0.009569138276553106
0.01 0.01 0.04 559 574 2265 9980 10303 21 648 0.002667239240385533 0.002738810955243821 0.011347695390781563
0.01 0.01 0.04 653 686 2077 9980 10303 21 624 0.003115755320164138 0.0032732130928523713 0.010405811623246494
0.01 0.01 0.04 756 566 2362 9980 10298 21 708 0.0036072144288577155 0.0027006393739860673 0.011833667334669338
0.01 0.01 0.04 619 585 2560 9980 10294 21 651 0.002953526099818685 0.002791296879473232 0.01282565130260521
0.01 0.01 0.04 530 599 2421 9980 10303 21 528 0.002528867258326176 0.002858097146674301 0.012129258517034069
0.01 0.01 0.04 531 696 2494 9980 10274 21 496 0.0025336387059833954 0.0033209275694245635 0.01249498997995992
0.01 0.01 0.04 590 656 2575 9980 10291 21 570 0.002815154117759328 0.0031300696631357955 0.012900801603206414
0.01 0.01 0.04 663 663 2185 9980 10278 21 688 0.0031634697967363296 0.0031634697967363296 0.01094689378757515
0.01 0.01 0.04 453 596 2159 9980 10278 21 475 0.002161465788720298 0.0028437828037026435 0.010816633266533066
0.01 0.01 0.04 623 474 2266 9980 10333 21 591 0.0029726118904475616 0.002261666189521901 0.011352705410821643
0.01 0.01 0.04 608 630 2616 9980 10296 21 542 0.0029010401755892737 0.003006012024048096 0.0131062124248497
0.01 0.01 0.04 614 572 2330 9980 10258 21 623 0.002929668861532589 0.0027292680599293826 0.011673346693386773
0.01 0.01 0.04 722 494 2287 9980 10274 21 689 0.003444985208512263 0.002357095142666285 0.011457915831663326
0.01 0.01 0.04 713 588 2477 9980 10297 21 602 0.00340204217959729 0.0028056112224448897 0.012409819639278558
0.01 0.01 0.04 649 815 2068 9980 10209 21 604 0.003096669529535261 0.0038887298406336483 0.010360721442885771
0.01 0.01 0.04 765 614 2137 9980 10287 21 722 0.003650157457772688 0.002929668861532589 0.010706412825651303
0.01 0.01 0.04 646 701 2410 9980 10272 21 611 0.0030823551865636033 0.0033447848077106596 0.012074148296593186
0.01 0.01 0.04 622 843 2289 9980 10259 21 625 0.0029678404427903424 0.004022330375035786 0.011467935871743487
0.01 0.01 0.04 686 739 2436 9980 10265 21 573 0.0032732130928523713 0.003526099818684989 0.01220440881763527
