p_s p_d d S D I K1 K2 k S_k_half S_norm D_norm, I_norm
0.02 0.02 0.02 1435 1251 1094 9980 9994 21 1344 0.006847027388109553 0.005969081019181219 0.005480961923847696
0.02 0.02 0.02 1482 1233 1044 9980 9972 21 1321 0.007071285427998855 0.005883194961351274 0.0052304609218436875
0.02 0.02 0.02 1450 1225 1279 9980 10027 21 1259 0.00691859910296784 0.00584502338009352 0.006407815631262525
0.02 0.02 0.02 1131 1361 1099 9980 9971 21 1134 0.005396507300314915 0.006493940261475332 0.005506012024048096
0.02 0.02 0.02 1315 1215 1218 9980 9975 21 1232 0.006274453669243249 0.005797308903521328 0.006102204408817635
0.02 0.02 0.02 987 1434 1166 9980 9962 21 1009 0.004709418837675351 0.006842255940452333 0.005841683366733467
0.02 0.02 0.02 1194 991 1320 9980 10004 21 1177 0.005697108502719725 0.004728504628304228 0.006613226452905812
0.02 0.02 0.02 1075 1213 1114 9980 9974 21 1125 0.005129306231510641 0.00578776600820689 0.0055811623246492985
0.02 0.02 0.02 1477 1335 1056 9980 9973 21 1363 0.007047428189712759 0.006369882622387632 0.005290581162324649
0.02 0.02 0.03 836 978 1404 9980 10094 21 1077 0.003988930241435251 0.004666475808760378 0.007034068136272545
0.02 0.02 0.03 1087 866 1305 9980 10078 21 1123 0.0051865636033972705 0.004132073671151828 0.006538076152304609
0.02 0.02 0.03 1042 1149 1520 9980 10064 21 1006 0.004971848458822406 0.005482393358144861 0.007615230460921844
0.02 0.02 0.03 946 987 1462 9980 10101 21 1091 0.004513789483729364 0.004709418837675351 0.007324649298597195
0.02 0.02 0.03 1062 1066 1221 9980 10087 21 1131 0.005067277411966791 0.005086363202595668 0.0061172344689378755
0.02 0.02 0.03 915 1085 1442 9980 10053 21 987 0.004365874606355569 0.005177020708082832 0.007224448897795591
0.02 0.02 0.03 1081 1177 1612 9980 10077 21 1120 0.005157934917453955 0.005615993892546999 0.008076152304609218
0.02 0.02 0.03 1094 880 1331 9980 10088 21 1135 0.005219963736997805 0.004198873938352896 0.006668336673346693
0.02 0.02 0.03 821 1178 1267 9980 10054 21 954 0.003917358526576964 0.005620765340204218 0.006347695390781563
0.02 0.02 0.03 999 914 1542 9980 10126 21 997 0.004766676209561981 0.0043611031586983495 0.0077254509018036075
0.02 0.02 0.03 1198 889 1095 9980 10059 21 1266 0.005716194293348602 0.004241816967267869 0.005485971943887775
0.02 0.02 0.03 1078 1040 1428 9980 10091 21 1139 0.005143620574482298 0.004962305563507968 0.007154308617234469
0.02 0.02 0.03 1090 1071 1425 9980 10068 21 1143 0.005200877946368928 0.005110220440881764 0.007139278557114229
0.02 0.02 0.03 1204 1075 1465 9980 10118 21 1127 0.005744822979291917 0.005129306231510641 0.007339679358717435
0.02 0.02 0.03 1110 1034 1319 9980 10064 21 1162 0.0052963068995133126 0.0049336768775646534 0.006608216432865731
0.02 0.02 0.03 1154 1044 1333 9980 10084 21 1123 0.005506250596430957 0.004981391354136845 0.006678356713426854
0.02 0.02 0.03 1102 1000 1475 9980 10069 21 1147 0.005258135318255559 0.0047714476572192 0.007389779559118236
0.02 0.02 0.03 1049 821 1406 9980 10090 21 1113 0.005005248592422941 0.003917358526576964 0.0070440881763527054
0.02 0.02 0.03 1139 884 1474 9980 10084 21 1140 0.005434678881572669 0.004217959728981773 0.0073847695390781565
0.02 0.02 0.03 1228 984 1087 9980 10088 21 1243 0.005859337723065178 0.004695104494703693 0.005445891783567134
0.02 0.02 0.04 662 808 1391 9980 10180 21 970 0.003158698349079111 0.0038553297070331137 0.006968937875751503
0.02 0.02 0.04 931 910 1328 9980 10199 21 1038 0.004442217768871075 0.004342017368069473 0.006653306613226453
0.02 0.02 0.04 968 771 1542 9980 10195 21 1065 0.004618761332188186 0.0036787861437160034 0.0077254509018036075
0.02 0.02 0.04 821 783 1660 9980 10199 21 996 0.003917358526576964 0.003736043515602634 0.008316633266533067
0.02 0.02 0.04 875 905 1396 9980 10183 21 1014 0.004175016700066801 0.0043181601297833765 0.006993987975951904
0.02 0.02 0.04 986 980 1389 9980 10192 21 1182 0.004704647390018132 0.004676018704074816 0.006958917835671343
0.02 0.02 0.04 674 1021 1737 9980 10202 21 791 0.003215955720965741 0.0048716480580208036 0.008702404809619238
0.02 0.02 0.04 939 849 1537 9980 10175 21 1011 0.004480389350128829 0.004050959060979101 0.007700400801603206
0.02 0.02 0.04 664 979 1320 9980 10154 21 857 0.003168241244393549 0.004671247256417597 0.006613226452905812
0.02 0.02 0.04 857 906 1415 9980 10163 21 940 0.004089130642236855 0.004322931577440596 0.007089178356713427
0.02 0.02 0.04 707 928 1688 9980 10158 21 819 0.0033734134936539745 0.004427903425899418 0.00845691382765531
0.02 0.02 0.04 1002 805 1419 9980 10193 21 1137 0.004780990552533638 0.003841015364061456 0.007109218436873748
0.02 0.02 0.04 978 831 1612 9980 10155 21 1045 0.004666475808760378 0.003965073003149156 0.008076152304609218
0.02 0.02 0.04 1022 848 1563 9980 10171 21 1082 0.004876419505678023 0.004046187613321882 0.00783066132264529
0.02 0.02 0.04 939 885 1393 9980 10138 21 1076 0.004480389350128829 0.004222731176638992 0.006978957915831663
0.02 0.02 0.04 916 928 1307 9980 10174 21 982 0.004370646054012788 0.004427903425899418 0.006548096192384769
0.02 0.02 0.04 901 796 1563 9980 10178 21 1010 0.0042990743391545 0.0037980723351464835 0.00783066132264529
0.02 0.02 0.04 752 877 1466 9980 10187 21 939 0.0035881286382288386 0.004184559595381238 0.007344689378757515
0.02 0.02 0.04 756 789 1485 9980 10168 21 960 0.0036072144288577155 0.003764672201545949 0.007439879759519038
0.02 0.02 0.04 933 807 1296 9980 10194 21 1048 0.004451760664185514 0.0038505582593758945 0.006492985971943888
0.02 0.02 0.05 541 664 1403 9980 10286 21 855 0.002581353182555587 0.003168241244393549 0.007029058116232465
0.02 0.02 0.05 759 743 1301 9980 10307 21 910 0.003621528771829373 0.003545185609313866 0.006518036072144288
0.02 0.02 0.05 742 820 1553 9980 10255 21 845 0.003540414161656647 0.003912587078919744 0.007780561122244489
0.02 0.02 0.05 671 634 1619 9980 10284 21 870 0.0032016413779940834 0.003025097814676973 0.008111222444889779
0.02 0.02 0.05 766 774 1450 9980 10277 21 963 0.0036549289054299073 0.003693100486687661 0.007264529058116233
0.02 0.02 0.05 744 857 1307 9980 10303 21 1039 0.003549957056971085 0.004089130642236855 0.006548096192384769
0.02 0.02 0.05 601 886 1751 9980 10275 21 731 0.002867640041988739 0.004227502624296211 0.008772545090180361
0.02 0.02 0.05 801 754 1602 9980 10274 21 903 0.0038219295734325796 0.003597671533543277 0.008026052104208417
0.02 0.02 0.05 603 829 1323 9980 10255 21 814 0.0028771829373031776 0.003955530107834717 0.006628256513026052
0.02 0.02 0.05 734 795 1506 9980 10269 21 880 0.003502242580398893 0.0037933008874892643 0.007545090180360721
0.02 0.02 0.05 808 694 1374 9980 10271 21 1011 0.0038553297070331137 0.003311384674110125 0.00688376753507014
0.02 0.02 0.05 845 641 1526 9980 10282 21 1070 0.004031873270350224 0.0030584979482775076 0.007645290581162325
0.02 0.02 0.05 648 694 1558 9980 10247 21 910 0.0030918980818780417 0.003311384674110125 0.007805611222444889
0.02 0.02 0.05 789 714 1519 9980 10312 21 941 0.003764672201545949 0.003406813627254509 0.007610220440881763
0.02 0.02 0.05 559 744 1535 9980 10303 21 746 0.002667239240385533 0.003549957056971085 0.007690380761523046
0.02 0.02 0.05 653 671 1415 9980 10283 21 845 0.003115755320164138 0.0032016413779940834 0.007089178356713427
0.02 0.02 0.05 605 704 1360 9980 10262 21 759 0.002886725832617616 0.003359099150682317 0.006813627254509018
0.02 0.02 0.05 742 557 1590 9980 10276 21 964 0.003540414161656647 0.0026576963450710947 0.007965931863727455
0.02 0.02 0.05 574 735 1557 9980 10278 21 812 0.002738810955243821 0.0035070140280561123 0.00780060120240481
0.02 0.02 0.05 648 688 1754 9980 10307 21 822 0.0030918980818780417 0.0032827559881668097 0.0087875751503006
0.02 0.03 0.01 1117 1751 550 9980 9760 21 1277 0.005329707033113847 0.00835480484779082 0.0027555110220440883
0.02 0.03 0.01 1162 1935 543 9980 9786 21 1170 0.00554442217768871 0.009232751216719152 0.002720440881763527
0.02 0.03 0.01 1354 1902 455 9980 9803 21 1251 0.006460540127874797 0.00907529344403092 0.002279559118236473
0.02 0.03 0.01 1292 1677 521 9980 9788 21 1291 0.0061647103731272065 0.008001717721156598 0.0026102204408817637
0.02 0.03 0.01 1001 1889 515 9980 9791 21 1032 0.004776219104876419 0.00901326462448707 0.0025801603206412824
0.02 0.03 0.01 1516 1805 555 9980 9789 21 1430 0.007233514648344308 0.008612463021280657 0.002780561122244489
0.02 0.03 0.01 1174 1891 641 9980 9793 21 1159 0.005601679549575341 0.009022807519801508 0.0032114228456913826
0.02 0.03 0.01 1265 1936 650 9980 9782 21 1153 0.006035881286382288 0.009237522664376371 0.003256513026052104
0.02 0.03 0.01 1239 1787 714 9980 9804 21 1149 0.0059118236472945895 0.00852657696345071 0.0035771543086172346
0.02 0.03 0.01 1136 1821 600 9980 9799 21 1076 0.0054203645386010114 0.008688806183796164 0.003006012024048096
0.02 0.03 0.01 1446 1823 361 9980 9759 21 1297 0.006899513312338964 0.008698349079110603 0.001808617234468938
0.02 0.03 0.01 1428 2077 487 9980 9777 21 1254 0.006813627254509018 0.00991029678404428 0.002439879759519038
0.02 0.03 0.01 1496 1586 610 9980 9792 21 1306 0.007138085695199923 0.007567515984349652 0.003056112224448898
0.02 0.03 0.01 1343 1756 587 9980 9793 21 1194 0.006408054203645386 0.008378662086076915 0.0029408817635270543
0.02 0.03 0.01 1079 2076 542 9980 9761 21 1138 0.0051483920221395175 0.00990552533638706 0.002715430861723447
0.02 0.03 0.01 1261 1651 628 9980 9770 21 1172 0.0060167954957534115 0.0078776600820689 0.0031462925851703408
0.02 0.03 0.01 1062 1878 559 9980 9749 21 1085 0.005067277411966791 0.008960778700257658 0.0028006012024048097
0.02 0.03 0.01 1235 1967 580 9980 9784 21 1267 0.005892737856665713 0.009385437541750167 0.002905811623246493
0.02 0.03 0.01 1061 1800 567 9980 9781 21 1139 0.0050625059643095716 0.00858860578299456 0.002840681362725451
0.02 0.03 0.01 1408 2001 411 9980 9771 21 1290 0.006718198301364634 0.009547666762095619 0.002059118236472946
0.02 0.03 0.02 804 1306 959 9980 9896 21 1087 0.0038362439164042372 0.006231510640328276 0.004804609218436874
0.02 0.03 0.02 1001 1582 845 9980 9888 21 1078 0.004776219104876419 0.007548430193720775 0.004233466933867736
0.02 0.03 0.02 1168 1536 800 9980 9894 21 1174 0.005573050863632026 0.007328943601488691 0.004008016032064128
0.02 0.03 0.02 887 1526 1089 9980 9898 21 1053 0.0042322740719534305 0.0072812291249165 0.005455911823647294
0.02 0.03 0.02 846 1466 833 9980 9898 21 939 0.004036644718007443 0.006994942265483348 0.004173346693386774
0.02 0.03 0.02 1220 1401 899 9980 9907 21 1273 0.005821166141807424 0.0066847981677641 0.004504008016032064
0.02 0.03 0.02 1042 1532 964 9980 9883 21 1077 0.004971848458822406 0.0073098578108598145 0.004829659318637275
0.02 0.03 0.02 1142 1494 899 9980 9891 21 1159 0.005448993224544327 0.007128542799885485 0.004504008016032064
0.02 0.03 0.02 934 1347 1052 9980 9923 21 974 0.004456532111842733 0.006427139994274263 0.005270541082164328
0.02 0.03 0.02 986 1522 1032 9980 9890 21 1008 0.004704647390018132 0.007262143334287623 0.005170340681362726
0.02 0.03 0.02 879 1648 1046 9980 9868 21 951 0.004194102490695677 0.007863345739097242 0.0052404809619238475
0.02 0.03 0.02 1170 1639 795 9980 9886 21 1224 0.005582593758946464 0.00782040271018227 0.0039829659318637274
0.02 0.03 0.02 1232 1373 849 9980 9874 21 1183 0.005878423513694055 0.006551197633361962 0.004253507014028056
0.02 0.03 0.02 1108 1383 984 9980 9922 21 1111 0.005286764004198874 0.006598912109934154 0.004929859719438877
0.02 0.03 0.02 936 1723 868 9980 9872 21 1065 0.0044660750071571715 0.008221204313388682 0.004348697394789579
0.02 0.03 0.02 1164 1365 950 9980 9870 21 1141 0.005553965073003149 0.006513026052104208 0.004759519038076153
0.02 0.03 0.02 768 1575 870 9980 9858 21 898 0.0036644718007443457 0.00751503006012024 0.00435871743486974
0.02 0.03 0.02 982 1331 1060 9980 9899 21 1051 0.004685561599389255 0.006350796831758755 0.00531062124248497
0.02 0.03 0.02 886 1531 942 9980 9879 21 1035 0.004227502624296211 0.007305086363202595 0.004719438877755511
0.02 0.03 0.02 1194 1578 832 9980 9890 21 1242 0.005697108502719725 0.007529344403091898 0.004168336673346693
0.02 0.03 0.03 667 1108 1096 9980 9987 21 996 0.0031825555873652065 0.005286764004198874 0.005490981963927856
0.02 0.03 0.03 830 1160 1058 9980 9970 21 993 0.003960301555491937 0.005534879282374273 0.005300601202404809
0.02 0.03 0.03 771 1340 1200 9980 9947 21 863 0.0036787861437160034 0.006393739860673728 0.006012024048096192
0.02 0.03 0.03 742 1196 1167 9980 9997 21 968 0.003540414161656647 0.005706651398034164 0.005846693386773547
0.02 0.03 0.03 832 1316 1052 9980 9991 21 1024 0.003969844450806375 0.006279225116900468 0.005270541082164328
0.02 0.03 0.03 740 1314 1153 9980 9948 21 872 0.0035308712663422084 0.006269682221586029 0.0057765531062124245
0.02 0.03 0.03 880 1268 1241 9980 9976 21 998 0.004198873938352896 0.006050195629353946 0.006217434869739479
0.02 0.03 0.03 923 1233 1027 9980 9972 21 1010 0.004404046187613322 0.005883194961351274 0.005145290581162324
0.02 0.03 0.03 669 1399 1060 9980 9964 21 843 0.003192098482679645 0.0066752552724496615 0.00531062124248497
0.02 0.03 0.03 758 1054 1238 9980 10021 21 865 0.003616757324172154 0.005029105830709037 0.006202404809619239
0.02 0.03 0.03 957 1244 931 9980 9954 21 1092 0.004566275407958775 0.005935680885580685 0.0046643286573146295
0.02 0.03 0.03 871 1351 1118 9980 9993 21 1040 0.004155930909437924 0.00644622578490314 0.005601202404809619
0.02 0.03 0.03 902 1166 1172 9980 9965 21 1026 0.004303845786811719 0.005563507968317587 0.005871743486973948
0.02 0.03 0.03 979 1169 1132 9980 10010 21 1021 0.004671247256417597 0.005577822311289245 0.005671342685370741
0.02 0.03 0.03 958 1300 1034 9980 9975 21 1071 0.0045710468556159935 0.00620288195438496 0.005180360721442886
0.02 0.03 0.03 1011 1136 1061 9980 9977 21 1044 0.004823933581448611 0.0054203645386010114 0.00531563126252505
0.02 0.03 0.03 892 1240 1221 9980 9987 21 1065 0.004256131310239527 0.005916595094951809 0.0061172344689378755
0.02 0.03 0.03 879 1074 1097 9980 9983 21 995 0.004194102490695677 0.0051245347838534214 0.005495991983967936
0.02 0.03 0.03 923 1042 1062 9980 9981 21 1026 0.004404046187613322 0.004971848458822406 0.00532064128256513
0.02 0.03 0.03 1017 1204 894 9980 10008 21 1152 0.004852562267391927 0.005744822979291917 0.0044789579158316635
0.02 0.03 0.04 526 895 1046 9980 10073 21 899 0.0025097814676972993 0.004270445653211184 0.0052404809619238475
0.02 0.03 0.04 709 1054 1042 9980 10098 21 935 0.003382956388968413 0.005029105830709037 0.0052204408817635274
0.02 0.03 0.04 777 987 1256 9980 10104 21 961 0.0037074148296593187 0.004709418837675351 0.0062925851703406815
0.02 0.03 0.04 646 958 1329 9980 10095 21 877 0.0030823551865636033 0.0045710468556159935 0.006658316633266533
0.02 0.03 0.04 683 1085 1162 9980 10087 21 921 0.0032588987498807136 0.005177020708082832 0.005821643286573146
0.02 0.03 0.04 804 1112 1099 9980 10090 21 1067 0.0038362439164042372 0.005305849794827751 0.005506012024048096
0.02 0.03 0.04 558 1038 1375 9980 10102 21 688 0.002662467792728314 0.00495276266819353 0.00688877755511022
0.02 0.03 0.04 763 1105 1250 9980 10069 21 914 0.00364061456245825 0.0052724496612272164 0.006262525050100201
0.02 0.03 0.04 519 1139 1061 9980 10061 21 751 0.002476381334096765 0.005434678881572669 0.00531563126252505
0.02 0.03 0.04 676 1212 1132 9980 10059 21 844 0.0032254986162801795 0.0057829945605496706 0.005671342685370741
0.02 0.03 0.04 588 1098 1420 9980 10064 21 763 0.0028056112224448897 0.005239049527626682 0.007114228456913827
0.02 0.03 0.04 817 1076 1080 9980 10085 21 1049 0.0038982727359480867 0.00513407767916786 0.005410821643286573
0.02 0.03 0.04 804 954 1332 9980 10051 21 945 0.0038362439164042372 0.0045519610649871175 0.0066733466933867735
0.02 0.03 0.04 841 1028 1261 9980 10077 21 989 0.004012787479721347 0.004905048191621338 0.006317635270541082
0.02 0.03 0.04 779 1101 1114 9980 10045 21 983 0.003716957724973757 0.0052533638705983396 0.0055811623246492985
0.02 0.03 0.04 806 1056 1051 9980 10069 21 905 0.0038457868117186753 0.0050386487260234755 0.005265531062124249
0.02 0.03 0.04 721 980 1285 9980 10097 21 929 0.0034402137608550436 0.004676018704074816 0.006437875751503006
0.02 0.03 0.04 601 1098 1147 9980 10094 21 853 0.002867640041988739 0.005239049527626682 0.005746492985971944
0.02 0.03 0.04 664 1059 1180 9980 10072 21 901 0.003168241244393549 0.005052963068995133 0.0059118236472945895
0.02 0.03 0.04 802 1071 1080 9980 10111 21 971 0.003826701021089799 0.005110220440881764 0.005410821643286573
0.02 0.03 0.05 430 745 1090 9980 10179 21 785 0.002051722492604256 0.003554728504628304 0.005460921843687375
0.02 0.03 0.05 564 887 1034 9980 10206 21 814 0.002691096478671629 0.0042322740719534305 0.005180360721442886
0.02 0.03 0.05 568 980 1243 9980 10141 21 736 0.0027101822693005057 0.004676018704074816 0.006227454909819639
0.02 0.03 0.05 562 748 1348 9980 10190 21 790 0.0026815535833571904 0.0035690428475999617 0.006753507014028056
0.02 0.03 0.05 620 887 1164 9980 10180 21 872 0.0029582975474759044 0.0042322740719534305 0.005831663326653307
0.02 0.03 0.05 602 952 1038 9980 10201 21 934 0.0028724114896459584 0.004542418169672679 0.0052004008016032065
0.02 0.03 0.05 500 866 1349 9980 10176 21 644 0.0023857238286096 0.004132073671151828 0.006758517034068137
0.02 0.03 0.05 635 933 1246 9980 10166 21 802 0.0030298692623341923 0.004451760664185514 0.00624248496993988
0.02 0.03 0.05 488 925 1071 9980 10164 21 714 0.0023284664567229697 0.00441358908292776 0.005365731462925852
0.02 0.03 0.05 577 1043 1163 9980 10162 21 784 0.0027531252982154787 0.004976619906479626 0.005826653306613226
0.02 0.03 0.05 650 915 1193 9980 10167 21 857 0.00310144097719248 0.004365874606355569 0.005976953907815631
0.02 0.03 0.05 664 872 1096 9980 10165 21 986 0.003168241244393549 0.004160702357095143 0.005490981963927856
0.02 0.03 0.05 542 823 1246 9980 10140 21 825 0.0025861246302128064 0.003926901421891402 0.00624248496993988
0.02 0.03 0.05 665 832 1234 9980 10211 21 877 0.003173012692050768 0.003969844450806375 0.006182364729458918
0.02 0.03 0.05 430 993 1172 9980 10199 21 679 0.002051722492604256 0.004738047523618666 0.005871743486973948
0.02 0.03 0.05 550 848 1180 9980 10183 21 766 0.00262429621147056 0.004046187613321882 0.0059118236472945895
0.02 0.03 0.05 508 746 984 9980 10158 21 692 0.0024238954098673537 0.0035594999522855233 0.004929859719438877
0.02 0.03 0.05 624 787 1278 9980 10162 21 821 0.002977383338104781 0.0037551293062315105 0.006402805611222445
0.02 0.03 0.05 511 1007 1233 9980 10182 21 755 0.0024382097528390114 0.0048048477908197345 0.006177354709418837
0.02 0.03 0.05 530 764 1429 9980 10190 21 755 0.002528867258326176 0.003645386010115469 0.007159318637274549
0.02 0.04 0.01 895 1856 405 9980 9646 21 1176 0.004270445653211184 0.008855806851798835 0.002029058116232465
0.02 0.04 0.01 933 2100 450 9980 9679 21 1020 0.004451760664185514 0.01002004008016032 0.0022545090180360722
0.02 0.04 0.01 1118 2156 375 9980 9694 21 1133 0.005334478480771066 0.010287241148964597 0.00187875751503006
0.02 0.04 0.01 1043 1907 390 9980 9683 21 1132 0.004976619906479626 0.009099150682317016 0.0019539078156312626
0.02 0.04 0.01 787 2068 423 9980 9689 21 932 0.0037551293062315105 0.009867353755129307 0.0021192384769539076
0.02 0.04 0.01 1274 2124 477 9980 9705 21 1305 0.006078824315297261 0.010134554823933582 0.0023897795591182364
0.02 0.04 0.01 1003 2024 508 9980 9696 21 1050 0.004785762000190858 0.009657410058211661 0.0025450901803607214
0.02 0.04 0.01 1029 2070 502 9980 9679 21 1056 0.004909819639278557 0.009876896650443745 0.0025150300601202405
0.02 0.04 0.01 964 1890 571 9980 9713 21 1007 0.004599675541559309 0.009018036072144289 0.0028607214428857716
0.02 0.04 0.01 957 2033 431 9980 9685 21 980 0.004566275407958775 0.009700353087126634 0.002159318637274549
0.02 0.04 0.01 1154 1938 329 9980 9671 21 1183 0.005506250596430957 0.00924706555969081 0.0016482965931863727
0.02 0.04 0.01 1118 2213 370 9980 9671 21 1082 0.005334478480771066 0.01055921366542609 0.0018537074148296593
0.02 0.04 0.01 1194 1746 450 9980 9686 21 1167 0.005697108502719725 0.008330947609504724 0.0022545090180360722
0.02 0.04 0.01 1022 2009 443 9980 9678 21 1084 0.004876419505678023 0.009585838343353373 0.002219438877755511
0.02 0.04 0.01 876 2155 475 9980 9662 21 1034 0.004179788147724019 0.010282469701307377 0.0023797595190380764
0.02 0.04 0.01 989 1794 481 9980 9674 21 1031 0.004718961732989789 0.008559977097051245 0.0024098196392785573
0.02 0.04 0.01 858 1904 441 9980 9652 21 983 0.004093902089894074 0.009084836339345358 0.002209418837675351
0.02 0.04 0.01 1069 1916 490 9980 9692 21 1164 0.005100677545567325 0.009142093711231987 0.0024549098196392787
0.02 0.04 0.01 888 2002 510 9980 9674 21 1061 0.00423704551961065 0.009552438209752838 0.002555110220440882
0.02 0.04 0.01 1129 2111 360 9980 9676 21 1159 0.005386964405000477 0.010072526004389732 0.0018036072144288577
0.02 0.04 0.02 640 1378 696 9980 9782 21 990 0.0030537265006202884 0.006575054871648058 0.003486973947895792
0.02 0.04 0.02 791 1745 725 9980 9780 21 940 0.0037742150968603874 0.008326176161847505 0.0036322645290581164
0.02 0.04 0.02 969 1767 605 9980 9785 21 1076 0.004623532779845405 0.008431148010306326 0.003031062124248497
0.02 0.04 0.02 757 1704 861 9980 9796 21 955 0.0036119858765149347 0.008130546807901517 0.0043136272545090185
0.02 0.04 0.02 674 1622 659 9980 9796 21 848 0.003215955720965741 0.007739288100009543 0.003301603206412826
0.02 0.04 0.02 1034 1671 761 9980 9826 21 1169 0.0049336768775646534 0.007973089035213283 0.003812625250501002
0.02 0.04 0.02 897 1617 745 9980 9789 21 980 0.004279988548525623 0.007715430861723447 0.0037324649298597196
0.02 0.04 0.02 920 1511 670 9980 9778 21 1017 0.004389731844641664 0.007209657410058212 0.003356713426853707
0.02 0.04 0.02 773 1426 854 9980 9835 21 871 0.003688329039030442 0.00680408435919458 0.004278557114228457
0.02 0.04 0.02 847 1667 715 9980 9776 21 923 0.0040414161656646625 0.007954003244584408 0.0035821643286573146
0.02 0.04 0.02 695 1761 860 9980 9762 21 864 0.0033161561217673443 0.008402519324363011 0.004308617234468938
0.02 0.04 0.02 921 1716 660 9980 9779 21 1054 0.004394503292298883 0.008187804179788148 0.003306613226452906
0.02 0.04 0.02 986 1588 668 9980 9770 21 1055 0.004704647390018132 0.00757705887966409 0.003346693386773547
0.02 0.04 0.02 863 1493 713 9980 9809 21 1002 0.00411775932818017 0.007123771352228266 0.003572144288577154
0.02 0.04 0.02 758 1851 750 9980 9769 21 970 0.003616757324172154 0.00883194961351274 0.00375751503006012
0.02 0.04 0.02 905 1551 711 9980 9770 21 998 0.0043181601297833765 0.00740051531634698 0.003562124248496994
0.02 0.04 0.02 622 1586 688 9980 9756 21 817 0.0029678404427903424 0.007567515984349652 0.0034468937875751504
0.02 0.04 0.02 825 1464 792 9980 9779 21 954 0.0039364443172058405 0.006985399370168909 0.003967935871743487
0.02 0.04 0.02 768 1665 770 9980 9772 21 973 0.0036644718007443457 0.00794446034926997 0.0038577154308617233
0.02 0.04 0.02 994 1667 646 9980 9792 21 1124 0.0047428189712758854 0.007954003244584408 0.0032364729458917835
0.02 0.04 0.03 533 1149 776 9980 9873 21 910 0.002543181601297834 0.005482393358144861 0.0038877755511022042
0.02 0.04 0.03 682 1278 879 9980 9869 21 887 0.003254127302223495 0.006097910105926138 0.004403807615230461
0.02 0.04 0.03 618 1447 980 9980 9836 21 769 0.002948754652161466 0.006904284759996182 0.004909819639278557
0.02 0.04 0.03 621 1369 944 9980 9894 21 872 0.0029630689951331236 0.006532111842733085 0.004729458917835671
0.02 0.04 0.03 691 1403 820 9980 9895 21 936 0.0032970703311384674 0.006694341063078538 0.004108216432865732
0.02 0.04 0.03 605 1509 847 9980 9843 21 794 0.002886725832617616 0.007200114514743773 0.004243486973947896
0.02 0.04 0.03 764 1329 1010 9980 9882 21 911 0.003645386010115469 0.006341253936444317 0.005060120240480962
0.02 0.04 0.03 755 1242 793 9980 9860 21 882 0.0036024429812004963 0.005926137990266247 0.003972945891783567
0.02 0.04 0.03 567 1539 839 9980 9870 21 767 0.0027054108216432865 0.007343257944460349 0.004203406813627255
0.02 0.04 0.03 580 1208 949 9980 9907 21 788 0.0027674396411871364 0.005763908769920794 0.004754509018036072
0.02 0.04 0.03 767 1284 790 9980 9870 21 996 0.0036597003530871265 0.006126538791869453 0.003957915831663327
0.02 0.04 0.03 716 1501 882 9980 9885 21 945 0.0034163565225689475 0.0071619429334860195 0.004418837675350702
0.02 0.04 0.03 712 1314 922 9980 9857 21 912 0.0033972707319400706 0.006269682221586029 0.004619238476953908
0.02 0.04 0.03 765 1258 894 9980 9902 21 919 0.003650157457772688 0.006002481152781754 0.0044789579158316635
0.02 0.04 0.03 839 1362 802 9980 9887 21 997 0.004003244584406909 0.006498711709132551 0.004018036072144289
0.02 0.04 0.03 800 1292 821 9980 9879 21 925 0.0038171581257753604 0.0061647103731272065 0.004113226452905812
0.02 0.04 0.03 718 1387 934 9980 9886 21 951 0.003425899417883386 0.006617997900563031 0.00467935871743487
0.02 0.04 0.03 758 1212 793 9980 9860 21 908 0.003616757324172154 0.0057829945605496706 0.003972945891783567
0.02 0.04 0.03 764 1240 888 9980 9879 21 932 0.003645386010115469 0.005916595094951809 0.004448897795591183
0.02 0.04 0.03 822 1297 721 9980 9911 21 1028 0.003922129974234183 0.006188567611413303 0.0036122244488977955
0.02 0.04 0.04 408 949 739 9980 9959 21 817 0.0019467506441454337 0.004528103826701021 0.0037024048096192387
0.02 0.04 0.04 569 1211 888 9980 9991 21 830 0.002714953716957725 0.005778223112892451 0.004448897795591183
0.02 0.04 0.04 632 1166 995 9980 9995 21 879 0.0030155549193625346 0.005563507968317587 0.00498496993987976
0.02 0.04 0.04 548 1060 1079 9980 9992 21 782 0.0026147533161561217 0.005057734516652352 0.0054058116232464926
0.02 0.04 0.04 583 1151 923 9980 9989 21 834 0.0027817539841587936 0.0054919362534593 0.004624248496993988
0.02 0.04 0.04 686 1258 943 9980 10009 21 982 0.0032732130928523713 0.006002481152781754 0.004724448897795591
0.02 0.04 0.04 432 1213 1149 9980 10009 21 614 0.0020612653879186946 0.00578776600820689 0.0057565130260521045
0.02 0.04 0.04 588 1118 973 9980 9962 21 834 0.0028056112224448897 0.005334478480771066 0.004874749498997996
0.02 0.04 0.04 441 1286 834 9980 9969 21 680 0.002104208416833667 0.006136081687183891 0.0041783567134268534
0.02 0.04 0.04 584 1275 825 9980 9946 21 753 0.002786525431816013 0.006083595762954481 0.004133266533066132
0.02 0.04 0.04 464 1257 1110 9980 9955 21 688 0.002213951712949709 0.005997709705124535 0.005561122244488978
0.02 0.04 0.04 687 1165 852 9980 9978 21 925 0.0032779845405095905 0.005558736520660368 0.004268537074148296
