p_s,p_d,d,S,D,I,K1,k,S_norm,D_norm,I_norm,a,b,c
0.06,0.02,0.1,310,126,311,9980,21,0.001479149,0.000601202,0.001558116,2.28789E-68,0.000601202,0.003638467
0.06,0.03,0.01,1485,768,176,9980,21,0.0070856,0.003664472,0.000881764,6.98617E-52,0.003664472,0.011631835
0.06,0.03,0.02,1078,541,320,9980,21,0.005143621,0.002581353,0.001603206,4.45447E-55,0.002581353,0.00932818
0.06,0.03,0.03,858,489,382,9980,21,0.004093902,0.002333238,0.001913828,5.33506E-56,0.002333238,0.008340968
0.06,0.03,0.04,721,436,345,9980,21,0.003440214,0.002080351,0.001728457,4.7959E-57,0.002080351,0.007249022
0.06,0.03,0.05,625,352,335,9980,21,0.002982155,0.00167955,0.001678357,5.35858E-59,0.00167955,0.006340061
0.06,0.03,0.06,507,307,330,9980,21,0.002419124,0.001464834,0.001653307,3.03081E-60,0.001464834,0.005537265
0.06,0.03,0.07,394,254,287,9980,21,0.00187995,0.001211948,0.001437876,5.6645E-62,0.001211948,0.004529774
0.06,0.03,0.08,346,218,309,9980,21,0.001650921,0.001040176,0.001548096,2.28686E-63,0.001040176,0.004239193
0.06,0.03,0.09,279,163,277,9980,21,0.001331234,0.000777746,0.001387776,5.10027E-66,0.000777746,0.003496755
0.06,0.03,0.1,252,140,260,9980,21,0.001202405,0.000668003,0.001302605,2.09094E-67,0.000668003,0.003173013
0.06,0.04,0.01,1179,787,112,9980,21,0.005625537,0.003755129,0.000561122,1.16714E-51,0.003755129,0.009941788
0.06,0.04,0.02,846,542,204,9980,21,0.004036645,0.002586125,0.001022044,4.63061E-55,0.002586125,0.007644813
0.06,0.04,0.03,670,465,257,9980,21,0.00319687,0.002218723,0.001287575,1.85424E-56,0.002218723,0.006703168
0.06,0.04,0.04,561,414,242,9980,21,0.002676782,0.001975379,0.001212425,1.61682E-57,0.001975379,0.005864586
0.06,0.04,0.05,473,342,250,9980,21,0.002256895,0.001631835,0.001252505,2.92551E-59,0.001631835,0.005141235
0.06,0.04,0.06,378,296,261,9980,21,0.001803607,0.001412349,0.001307615,1.40857E-60,0.001412349,0.004523571
0.06,0.04,0.07,305,254,232,9980,21,0.001455292,0.001211948,0.001162325,5.6645E-62,0.001211948,0.003829564
0.06,0.04,0.08,274,208,241,9980,21,0.001307377,0.000992461,0.001207415,8.53068E-64,0.000992461,0.003507253
0.06,0.04,0.09,219,151,215,9980,21,0.001044947,0.000720489,0.001077154,1.02369E-66,0.000720489,0.00284259
0.06,0.04,0.1,196,126,206,9980,21,0.000935204,0.000601202,0.001032064,2.28789E-68,0.000601202,0.00256847
0.06,0.05,0.01,918,774,56,9980,21,0.004380189,0.0036931,0.000280561,8.22647E-52,0.0036931,0.008353851
0.06,0.05,0.02,635,538,144,9980,21,0.003029869,0.002567039,0.000721443,3.96352E-55,0.002567039,0.006318351
0.06,0.05,0.03,525,463,193,9980,21,0.00250501,0.00220918,0.000966934,1.69377E-56,0.00220918,0.005681124
0.06,0.05,0.04,444,403,173,9980,21,0.002118523,0.001922893,0.000866733,9.18458E-58,0.001922893,0.00490815
0.06,0.05,0.05,365,334,180,9980,21,0.001741578,0.001593664,0.000901804,1.77963E-59,0.001593664,0.004237046
0.06,0.05,0.06,291,293,180,9980,21,0.001388491,0.001398034,0.000901804,1.1373E-60,0.001398034,0.003688329
0.06,0.05,0.07,249,261,171,9980,21,0.00118809,0.001245348,0.000856713,1.00255E-61,0.001245348,0.003290152
0.06,0.05,0.08,236,205,180,9980,21,0.001126062,0.000978147,0.000901804,6.28759E-64,0.000978147,0.003006012
0.06,0.05,0.09,191,143,159,9980,21,0.000911347,0.000682317,0.000796593,3.2637E-67,0.000682317,0.002390257
0.06,0.05,0.1,169,113,150,9980,21,0.000806375,0.000539174,0.000751503,2.32435E-69,0.000539174,0.002097051
0.06,0.06,0.01,755,734,38,9980,21,0.003602443,0.003502243,0.000190381,2.69942E-52,0.003502243,0.007295066
0.06,0.06,0.02,519,500,108,9980,21,0.002476381,0.002385724,0.000541082,8.51184E-56,0.002385724,0.005403187
0.06,0.06,0.03,446,422,145,9980,21,0.002128066,0.002013551,0.000726453,2.41666E-57,0.002013551,0.004868069
0.06,0.06,0.04,370,364,143,9980,21,0.001765436,0.001736807,0.000716433,1.08338E-58,0.001736807,0.004218675
0.06,0.06,0.05,307,312,148,9980,21,0.001464834,0.001488692,0.000741483,4.255E-60,0.001488692,0.003695009
0.06,0.06,0.06,253,275,157,9980,21,0.001207176,0.001312148,0.000786573,3.00359E-61,0.001312148,0.003305898
0.06,0.06,0.07,220,253,149,9980,21,0.001049718,0.001207176,0.000746493,5.21416E-62,0.001207176,0.003003388
0.06,0.06,0.08,207,207,150,9980,21,0.00098769,0.00098769,0.000751503,7.70958E-64,0.00098769,0.002726882
0.06,0.06,0.09,167,152,130,9980,21,0.000796832,0.00072526,0.000651303,1.1759E-66,0.00072526,0.002173394
0.06,0.06,0.1,148,109,120,9980,21,0.000706174,0.000520088,0.000601202,1.09046E-69,0.000520088,0.001827464
0.06,0.07,0.01,607,713,28,9980,21,0.002896269,0.003402042,0.000140281,1.46735E-52,0.003402042,0.006438591
0.06,0.07,0.02,410,478,78,9980,21,0.001956294,0.002280752,0.000390782,3.30856E-56,0.002280752,0.004627827
0.06,0.07,0.03,362,411,104,9980,21,0.001727264,0.001961065,0.000521042,1.38782E-57,0.001961065,0.004209371
0.06,0.07,0.04,292,357,110,9980,21,0.001393263,0.001703407,0.000551102,7.20586E-59,0.001703407,0.003647772
0.06,0.07,0.05,253,294,99,9980,21,0.001207176,0.001402806,0.000495992,1.22165E-60,0.001402806,0.003105974
0.06,0.07,0.06,214,264,108,9980,21,0.00102109,0.001259662,0.000541082,1.27449E-61,0.001259662,0.002821834
0.06,0.07,0.07,181,230,93,9980,21,0.000863632,0.001097433,0.000465932,7.04592E-63,0.001097433,0.002426997
0.06,0.07,0.08,176,205,108,9980,21,0.000839775,0.000978147,0.000541082,6.28759E-64,0.000978147,0.002359004
0.06,0.07,0.09,143,150,96,9980,21,0.000682317,0.000715717,0.000480962,8.90369E-67,0.000715717,0.001878996
0.06,0.07,0.1,127,102,90,9980,21,0.000605974,0.000486688,0.000450902,2.70556E-70,0.000486688,0.001543563
0.06,0.08,0.01,506,603,17,9980,21,0.002414353,0.002877183,8.52E-05,4.34827E-54,0.002877183,0.005376706
0.06,0.08,0.02,355,408,61,9980,21,0.001693864,0.001946751,0.000305611,1.18992E-57,0.001946751,0.003946226
0.06,0.08,0.03,307,330,73,9980,21,0.001464834,0.001574578,0.000365731,1.3818E-59,0.001574578,0.003405144
0.06,0.08,0.04,244,283,86,9980,21,0.001164233,0.00135032,0.000430862,5.4849E-61,0.00135032,0.002945415
0.06,0.08,0.05,212,245,76,9980,21,0.001011547,0.001169005,0.000380762,2.65547E-62,0.001169005,0.002561313
0.06,0.08,0.06,176,220,89,9980,21,0.000839775,0.001049718,0.000445892,2.77032E-63,0.001049718,0.002335385
0.06,0.08,0.07,159,193,74,9980,21,0.00075866,0.000920889,0.000370741,1.77156E-64,0.000920889,0.002050291
0.06,0.08,0.08,154,171,91,9980,21,0.000734803,0.000815918,0.000455912,1.39499E-65,0.000815918,0.002006632
0.06,0.08,0.09,122,120,79,9980,21,0.000582117,0.000572574,0.000395792,8.2122E-69,0.000572574,0.001550482
0.06,0.08,0.1,112,90,72,9980,21,0.000534402,0.00042943,0.000360721,1.9532E-71,0.00042943,0.001324554
0.06,0.09,0.01,440,482,17,9980,21,0.002099437,0.002299838,8.52E-05,3.94132E-56,0.002299838,0.004484445
0.06,0.09,0.02,305,329,43,9980,21,0.001455292,0.001569806,0.000215431,1.29648E-59,0.001569806,0.003240529
0.06,0.09,0.03,267,266,54,9980,21,0.001273977,0.001269205,0.000270541,1.49337E-61,0.001269205,0.002813723
0.06,0.09,0.04,209,221,56,9980,21,0.000997233,0.00105449,0.000280561,3.04713E-63,0.00105449,0.002332284
0.06,0.09,0.05,186,187,51,9980,21,0.000887489,0.000892261,0.000255511,9.12698E-65,0.000892261,0.002035261
0.06,0.09,0.06,151,154,55,9980,21,0.000720489,0.000734803,0.000275551,1.54735E-66,0.000734803,0.001730843
0.06,0.09,0.07,134,141,42,9980,21,0.000639374,0.000672774,0.000210421,2.42803E-67,0.000672774,0.001522569
0.06,0.09,0.08,130,119,57,9980,21,0.000620288,0.000567802,0.000285571,6.88874E-69,0.000567802,0.001473662
0.06,0.09,0.09,101,80,46,9980,21,0.000481916,0.000381716,0.000230461,1.64643E-72,0.000381716,0.001094093
0.06,0.09,0.1,93,55,49,9980,21,0.000443745,0.00026243,0.000245491,6.29898E-76,0.00026243,0.000951665
0.06,0.1,0.01,329,408,15,9980,21,0.001569806,0.001946751,7.52E-05,1.18992E-57,0.001946751,0.003591707
0.06,0.1,0.02,219,279,35,9980,21,0.001044947,0.001331234,0.000175351,4.06763E-61,0.001331234,0.002551532
0.06,0.1,0.03,193,226,47,9980,21,0.000920889,0.001078347,0.000235471,4.87451E-63,0.001078347,0.002234708
0.06,0.1,0.04,146,187,52,9980,21,0.000696631,0.000892261,0.000260521,9.12698E-65,0.000892261,0.001849413
0.06,0.1,0.05,129,155,44,9980,21,0.000615517,0.000739574,0.000220441,1.77263E-66,0.000739574,0.001575532
0.06,0.1,0.06,105,134,48,9980,21,0.000501002,0.000639374,0.000240481,8.33401E-68,0.000639374,0.001380857
0.06,0.1,0.07,95,121,37,9980,21,0.000453288,0.000577345,0.000185371,9.77566E-69,0.000577345,0.001216003
0.06,0.1,0.08,91,98,48,9980,21,0.000434202,0.000467602,0.000240481,1.16789E-70,0.000467602,0.001142285
0.06,0.1,0.09,78,71,43,9980,21,0.000372173,0.000338773,0.000215431,1.34301E-73,0.000338773,0.000926377
0.06,0.1,0.1,70,52,45,9980,21,0.000334001,0.000248115,0.000225451,1.93965E-76,0.000248115,0.000807568
0.07,0.01,0.01,2140,330,200,9980,21,0.010210898,0.001574578,0.001002004,1.3818E-59,0.001574578,0.01278748
0.07,0.01,0.02,1551,230,397,9980,21,0.007400515,0.001097433,0.001988978,7.04592E-63,0.001097433,0.010486926
0.07,0.01,0.03,1270,205,459,9980,21,0.006059739,0.000978147,0.002299599,6.28759E-64,0.000978147,0.009337484
0.07,0.01,0.04,1076,192,429,9980,21,0.005134078,0.000916118,0.002149299,1.58847E-64,0.000916118,0.008199494
0.07,0.01,0.05,893,151,409,9980,21,0.004260903,0.000720489,0.002049098,1.02369E-66,0.000720489,0.00703049
0.07,0.01,0.06,734,138,401,9980,21,0.003502243,0.00065846,0.002009018,1.54566E-67,0.00065846,0.00616972
0.07,0.01,0.07,588,115,362,9980,21,0.002805611,0.000548716,0.001813627,3.35976E-69,0.000548716,0.005167955
0.07,0.01,0.08,529,105,375,9980,21,0.002524096,0.000501002,0.001878758,4.97312E-70,0.000501002,0.004903855
0.07,0.01,0.09,406,89,342,9980,21,0.001937208,0.000424659,0.001713427,1.5447E-71,0.000424659,0.004075293
0.07,0.01,0.1,361,75,311,9980,21,0.001722493,0.000357859,0.001558116,4.24561E-73,0.000357859,0.003638467
0.07,0.02,0.01,1794,459,176,9980,21,0.008559977,0.002190094,0.000881764,1.41163E-56,0.002190094,0.011631835
0.07,0.02,0.02,1310,309,320,9980,21,0.006250596,0.001474377,0.001603206,3.47361E-60,0.001474377,0.00932818
0.07,0.02,0.03,1075,272,382,9980,21,0.005129306,0.001297834,0.001913828,2.38562E-61,0.001297834,0.008340968
0.07,0.02,0.04,914,243,345,9980,21,0.004361103,0.001159462,0.001728457,2.23555E-62,0.001159462,0.007249022
0.07,0.02,0.05,779,198,335,9980,21,0.003716958,0.000944747,0.001678357,3.03125E-64,0.000944747,0.006340061
0.07,0.02,0.06,631,183,330,9980,21,0.003010783,0.000873175,0.001653307,5.79597E-65,0.000873175,0.005537265
0.07,0.02,0.07,492,156,287,9980,21,0.002347552,0.000744346,0.001437876,2.02894E-66,0.000744346,0.004529774
0.07,0.02,0.08,433,131,309,9980,21,0.002066037,0.00062506,0.001548096,5.18025E-68,0.00062506,0.004239193
0.07,0.02,0.09,335,107,277,9980,21,0.001598435,0.000510545,0.001387776,7.39116E-70,0.000510545,0.003496755
0.07,0.02,0.1,298,94,260,9980,21,0.001421891,0.000448516,0.001302605,4.86786E-71,0.000448516,0.003173013
0.07,0.03,0.01,1430,536,112,9980,21,0.00682317,0.002557496,0.000561122,3.66534E-55,0.002557496,0.009941788
0.07,0.03,0.02,1028,360,204,9980,21,0.004905048,0.001717721,0.001022044,8.59025E-59,0.001717721,0.007644813
0.07,0.03,0.03,837,298,257,9980,21,0.003993702,0.001421891,0.001287575,1.62254E-60,0.001421891,0.006703168
0.07,0.03,0.04,705,270,242,9980,21,0.003363871,0.001288291,0.001212425,2.04311E-61,0.001288291,0.005864586
0.07,0.03,0.05,591,224,250,9980,21,0.002819926,0.001068804,0.001252505,4.04447E-63,0.001068804,0.005141235
0.07,0.03,0.06,471,203,261,9980,21,0.002247352,0.000968604,0.001307615,5.11765E-64,0.000968604,0.004523571
0.07,0.03,0.07,384,175,232,9980,21,0.001832236,0.000835003,0.001162325,2.267E-65,0.000835003,0.003829564
0.07,0.03,0.08,342,140,241,9980,21,0.001631835,0.000668003,0.001207415,2.09094E-67,0.000668003,0.003507253
0.07,0.03,0.09,257,113,215,9980,21,0.001226262,0.000539174,0.001077154,2.32435E-69,0.000539174,0.00284259
0.07,0.03,0.1,233,89,206,9980,21,0.001111747,0.000424659,0.001032064,1.5447E-71,0.000424659,0.00256847
0.07,0.04,0.01,1107,585,56,9980,21,0.005281993,0.002791297,0.000280561,2.30105E-54,0.002791297,0.008353851
0.07,0.04,0.02,771,402,144,9980,21,0.003678786,0.001918122,0.000721443,8.71767E-58,0.001918122,0.006318351
0.07,0.04,0.03,646,342,193,9980,21,0.003082355,0.001631835,0.000966934,2.92551E-59,0.001631835,0.005681124
0.07,0.04,0.04,545,302,173,9980,21,0.002600439,0.001440977,0.000866733,2.14684E-60,0.001440977,0.00490815
0.07,0.04,0.05,448,251,180,9980,21,0.002137609,0.001197633,0.000901804,4.41369E-62,0.001197633,0.004237046
0.07,0.04,0.06,362,222,180,9980,21,0.001727264,0.001059261,0.000901804,3.35016E-63,0.001059261,0.003688329
0.07,0.04,0.07,314,196,171,9980,21,0.001498235,0.000935204,0.000856713,2.44924E-64,0.000935204,0.003290152
0.07,0.04,0.08,292,149,180,9980,21,0.001393263,0.000710946,0.000901804,7.73687E-67,0.000710946,0.003006012
0.07,0.04,0.09,217,117,159,9980,21,0.001035404,0.000558259,0.000796593,4.82566E-69,0.000558259,0.002390257
0.07,0.04,0.1,194,88,150,9980,21,0.000925661,0.000419887,0.000751503,1.2184E-71,0.000419887,0.002097051
0.07,0.05,0.01,916,573,38,9980,21,0.004370646,0.00273404,0.000190381,1.48902E-54,0.00273404,0.007295066
0.07,0.05,0.02,631,388,108,9980,21,0.003010783,0.001851322,0.000541082,4.14114E-58,0.001851322,0.005403187
0.07,0.05,0.03,548,320,145,9980,21,0.002614753,0.001526863,0.000726453,7.24107E-60,0.001526863,0.004868069
0.07,0.05,0.04,452,282,143,9980,21,0.002156694,0.001345548,0.000716433,5.09196E-61,0.001345548,0.004218675
0.07,0.05,0.05,384,235,148,9980,21,0.001832236,0.00112129,0.000741483,1.10682E-62,0.00112129,0.003695009
0.07,0.05,0.06,319,209,157,9980,21,0.001522092,0.000997233,0.000786573,9.43464E-64,0.000997233,0.003305898
0.07,0.05,0.07,281,192,149,9980,21,0.001340777,0.000916118,0.000746493,1.58847E-64,0.000916118,0.003003388
0.07,0.05,0.08,263,151,150,9980,21,0.001254891,0.000720489,0.000751503,1.02369E-66,0.000720489,0.002726882
0.07,0.05,0.09,193,126,130,9980,21,0.000920889,0.000601202,0.000651303,2.28789E-68,0.000601202,0.002173394
0.07,0.05,0.1,173,84,120,9980,21,0.00082546,0.000400802,0.000601202,4.58689E-72,0.000400802,0.001827464
0.07,0.06,0.01,727,593,28,9980,21,0.003468842,0.002829468,0.000140281,3.06057E-54,0.002829468,0.006438591
0.07,0.06,0.02,492,396,78,9980,21,0.002347552,0.001889493,0.000390782,6.357E-58,0.001889493,0.004627827
0.07,0.06,0.03,439,334,104,9980,21,0.002094666,0.001593664,0.000521042,1.77963E-59,0.001593664,0.004209371
0.07,0.06,0.04,360,289,110,9980,21,0.001717721,0.001378948,0.000551102,8.52134E-61,0.001378948,0.003647772
0.07,0.06,0.05,317,230,99,9980,21,0.001512549,0.001097433,0.000495992,7.04592E-63,0.001097433,0.003105974
0.07,0.06,0.06,272,206,108,9980,21,0.001297834,0.000982918,0.000541082,6.9641E-64,0.000982918,0.002821834
0.07,0.06,0.07,234,177,93,9980,21,0.001116519,0.000844546,0.000465932,2.87801E-65,0.000844546,0.002426997
0.07,0.06,0.08,224,157,108,9980,21,0.001068804,0.000749117,0.000541082,2.32031E-66,0.000749117,0.002359004
0.07,0.06,0.09,161,132,96,9980,21,0.000768203,0.000629831,0.000480962,6.07723E-68,0.000629831,0.001878996
0.07,0.06,0.1,144,85,90,9980,21,0.000687088,0.000405573,0.000450902,5.881E-72,0.000405573,0.001543563
0.07,0.07,0.01,596,513,17,9980,21,0.002843783,0.002447753,8.52E-05,1.45921E-55,0.002447753,0.005376706
0.07,0.07,0.02,418,345,61,9980,21,0.001994465,0.001646149,0.000305611,3.51443E-59,0.001646149,0.003946226
0.07,0.07,0.03,365,272,73,9980,21,0.001741578,0.001297834,0.000365731,2.38562E-61,0.001297834,0.003405144
0.07,0.07,0.04,299,228,86,9980,21,0.001426663,0.00108789,0.000430862,5.86523E-63,0.00108789,0.002945415
0.07,0.07,0.05,263,194,76,9980,21,0.001254891,0.000925661,0.000380762,1.97465E-64,0.000925661,0.002561313
0.07,0.07,0.06,226,170,89,9980,21,0.001078347,0.000811146,0.000445892,1.23333E-65,0.000811146,0.002335385
0.07,0.07,0.07,207,145,74,9980,21,0.00098769,0.00069186,0.000370741,4.36899E-67,0.00069186,0.002050291
0.07,0.07,0.08,197,128,91,9980,21,0.000939975,0.000610745,0.000455912,3.18466E-68,0.000610745,0.002006632
0.07,0.07,0.09,138,104,79,9980,21,0.00065846,0.000496231,0.000395792,4.06774E-70,0.000496231,0.001550482
0.07,0.07,0.1,127,75,72,9980,21,0.000605974,0.000357859,0.000360721,4.24561E-73,0.000357859,0.001324554
0.07,0.08,0.01,501,421,17,9980,21,0.002390495,0.002008779,8.52E-05,2.2992E-57,0.002008779,0.004484445
0.07,0.08,0.02,351,283,43,9980,21,0.001674778,0.00135032,0.000215431,5.4849E-61,0.00135032,0.003240529
0.07,0.08,0.03,309,224,54,9980,21,0.001474377,0.001068804,0.000270541,4.04447E-63,0.001068804,0.002813723
0.07,0.08,0.04,248,182,56,9980,21,0.001183319,0.000868403,0.000280561,5.16598E-65,0.000868403,0.002332284
0.07,0.08,0.05,221,152,51,9980,21,0.00105449,0.00072526,0.000255511,1.1759E-66,0.00072526,0.002035261
0.07,0.08,0.06,185,120,55,9980,21,0.000882718,0.000572574,0.000275551,8.2122E-69,0.000572574,0.001730843
0.07,0.08,0.07,166,109,42,9980,21,0.00079206,0.000520088,0.000210421,1.09046E-69,0.000520088,0.001522569
0.07,0.08,0.08,157,92,57,9980,21,0.000749117,0.000438973,0.000285571,3.09883E-71,0.000438973,0.001473662
0.07,0.08,0.09,111,70,46,9980,21,0.000529631,0.000334001,0.000230461,9.97039E-74,0.000334001,0.001094093
0.07,0.08,0.1,102,46,49,9980,21,0.000486688,0.000219487,0.000245491,1.47764E-77,0.000219487,0.000951665
0.07,0.09,0.01,373,364,15,9980,21,0.00177975,0.001736807,7.52E-05,1.08338E-58,0.001736807,0.003591707
0.07,0.09,0.02,249,249,35,9980,21,0.00118809,0.00118809,0.000175351,3.73112E-62,0.00118809,0.002551532
0.07,0.09,0.03,219,200,47,9980,21,0.001044947,0.00095429,0.000235471,3.74355E-64,0.00095429,0.002234708
0.07,0.09,0.04,169,164,52,9980,21,0.000806375,0.000782517,0.000260521,5.79928E-66,0.000782517,0.001849413
0.07,0.09,0.05,149,135,44,9980,21,0.000710946,0.000644145,0.000220441,9.74232E-68,0.000644145,0.001575532
0.07,0.09,0.06,125,114,48,9980,21,0.000596431,0.000543945,0.000240481,2.79676E-69,0.000543945,0.001380857
0.07,0.09,0.07,113,103,37,9980,21,0.000539174,0.000491459,0.000185371,3.32074E-70,0.000491459,0.001216003
0.07,0.09,0.08,104,85,48,9980,21,0.000496231,0.000405573,0.000240481,5.881E-72,0.000405573,0.001142285
0.07,0.09,0.09,84,65,43,9980,21,0.000400802,0.000310144,0.000215431,2.10297E-74,0.000310144,0.000926377
0.07,0.09,0.1,76,46,45,9980,21,0.00036263,0.000219487,0.000225451,1.47764E-77,0.000219487,0.000807568
0.07,0.1,0.01,320,333,12,9980,21,0.001526863,0.001588892,6.01E-05,1.67102E-59,0.001588892,0.003175876
0.07,0.1,0.02,204,233,24,9980,21,0.000973375,0.001111747,0.00012024,9.2497E-63,0.001111747,0.002205363
0.07,0.1,0.03,184,197,31,9980,21,0.000877946,0.000939975,0.000155311,2.72549E-64,0.000939975,0.001973232
0.07,0.1,0.04,145,158,26,9980,21,0.00069186,0.000753889,0.000130261,2.65126E-66,0.000753889,0.001576009
0.07,0.1,0.05,127,134,20,9980,21,0.000605974,0.000639374,0.0001002,8.33401E-68,0.000639374,0.001345548
0.07,0.1,0.06,113,118,24,9980,21,0.000539174,0.000563031,0.00012024,5.77E-69,0.000563031,0.001222445
0.07,0.1,0.07,101,107,18,9980,21,0.000481916,0.000510545,9.02E-05,7.39116E-70,0.000510545,0.001082641
0.07,0.1,0.08,92,86,28,9980,21,0.000438973,0.000410344,0.000140281,7.51832E-72,0.000410344,0.000989598
0.07,0.1,0.09,78,69,27,9980,21,0.000372173,0.00032923,0.000135271,7.37029E-74,0.00032923,0.000836673
0.07,0.1,0.1,70,58,29,9980,21,0.000334001,0.000276744,0.000145291,1.9215E-75,0.000276744,0.000756036
0.08,0.01,0.01,2088,165,176,9980,21,0.009962783,0.000787289,0.000881764,6.58895E-66,0.000787289,0.011631835
0.08,0.01,0.02,1513,106,320,9980,21,0.0072192,0.000505773,0.001603206,6.06843E-70,0.000505773,0.00932818
0.08,0.01,0.03,1253,94,382,9980,21,0.005978624,0.000448516,0.001913828,4.86786E-71,0.000448516,0.008340968
0.08,0.01,0.04,1085,72,345,9980,21,0.005177021,0.000343544,0.001728457,1.80151E-73,0.000343544,0.007249022
0.08,0.01,0.05,909,68,335,9980,21,0.004337246,0.000324458,0.001678357,5.42426E-74,0.000324458,0.006340061
0.08,0.01,0.06,748,66,330,9980,21,0.003569043,0.000314916,0.001653307,2.89785E-74,0.000314916,0.005537265
0.08,0.01,0.07,589,59,287,9980,21,0.002810383,0.000281515,0.001437876,2.75135E-75,0.000281515,0.004529774
0.08,0.01,0.08,524,40,309,9980,21,0.002500239,0.000190858,0.001548096,7.85079E-79,0.000190858,0.004239193
0.08,0.01,0.09,412,30,277,9980,21,0.001965836,0.000143143,0.001387776,1.86724E-81,0.000143143,0.003496755
0.08,0.01,0.1,363,29,260,9980,21,0.001732035,0.000138372,0.001302605,9.16245E-82,0.000138372,0.003173013
0.08,0.02,0.01,1665,301,112,9980,21,0.00794446,0.001436206,0.000561122,2.0024E-60,0.001436206,0.009941788
0.08,0.02,0.02,1189,199,204,9980,21,0.005673251,0.000949518,0.001022044,3.36952E-64,0.000949518,0.007644813
0.08,0.02,0.03,975,160,257,9980,21,0.004652161,0.000763432,0.001287575,3.45281E-66,0.000763432,0.006703168
0.08,0.02,0.04,841,134,242,9980,21,0.004012787,0.000639374,0.001212425,8.33401E-68,0.000639374,0.005864586
0.08,0.02,0.05,687,128,250,9980,21,0.003277985,0.000610745,0.001252505,3.18466E-68,0.000610745,0.005141235
0.08,0.02,0.06,554,120,261,9980,21,0.002643382,0.000572574,0.001307615,8.2122E-69,0.000572574,0.004523571
0.08,0.02,0.07,454,105,232,9980,21,0.002166237,0.000501002,0.001162325,4.97312E-70,0.000501002,0.003829564
0.08,0.02,0.08,410,72,241,9980,21,0.001956294,0.000343544,0.001207415,1.80151E-73,0.000343544,0.003507253
0.08,0.02,0.09,311,59,215,9980,21,0.00148392,0.000281515,0.001077154,2.75135E-75,0.000281515,0.00284259
0.08,0.02,0.1,278,44,206,9980,21,0.001326462,0.000209944,0.001032064,5.80978E-78,0.000209944,0.00256847
0.08,0.03,0.01,1316,376,56,9980,21,0.006279225,0.001794064,0.000280561,2.14091E-58,0.001794064,0.008353851
0.08,0.03,0.02,907,266,144,9980,21,0.004327703,0.001269205,0.000721443,1.49337E-61,0.001269205,0.006318351
0.08,0.03,0.03,759,229,193,9980,21,0.003621529,0.001092662,0.000966934,6.42982E-63,0.001092662,0.005681124
0.08,0.03,0.04,658,189,173,9980,21,0.003139613,0.000901804,0.000866733,1.14117E-64,0.000901804,0.00490815
0.08,0.03,0.05,532,167,180,9980,21,0.00253841,0.000796832,0.000901804,8.48593E-66,0.000796832,0.004237046
0.08,0.03,0.06,433,151,180,9980,21,0.002066037,0.000720489,0.000901804,1.02369E-66,0.000720489,0.003688329
0.08,0.03,0.07,377,133,171,9980,21,0.001798836,0.000634603,0.000856713,7.12095E-68,0.000634603,0.003290152
0.08,0.03,0.08,353,88,180,9980,21,0.001684321,0.000419887,0.000901804,1.2184E-71,0.000419887,0.003006012
0.08,0.03,0.09,264,70,159,9980,21,0.001259662,0.000334001,0.000796593,9.97039E-74,0.000334001,0.002390257
0.08,0.03,0.1,232,50,150,9980,21,0.001106976,0.000238572,0.000751503,8.51184E-77,0.000238572,0.002097051
0.08,0.04,0.01,1076,413,38,9980,21,0.005134078,0.001970608,0.000190381,1.53675E-57,0.001970608,0.007295066
0.08,0.04,0.02,730,289,108,9980,21,0.003483157,0.001378948,0.000541082,8.52134E-61,0.001378948,0.005403187
0.08,0.04,0.03,631,237,145,9980,21,0.003010783,0.001130833,0.000726453,1.32242E-62,0.001130833,0.004868069
0.08,0.04,0.04,535,199,143,9980,21,0.002552724,0.000949518,0.000716433,3.36952E-64,0.000949518,0.004218675
0.08,0.04,0.05,438,181,148,9980,21,0.002089894,0.000863632,0.000741483,4.60154E-65,0.000863632,0.003695009
0.08,0.04,0.06,369,159,157,9980,21,0.001760664,0.00075866,0.000786573,3.02687E-66,0.00075866,0.003305898
0.08,0.04,0.07,323,150,149,9980,21,0.001541178,0.000715717,0.000746493,8.90369E-67,0.000715717,0.003003388
0.08,0.04,0.08,303,111,150,9980,21,0.001445749,0.000529631,0.000751503,1.59748E-69,0.000529631,0.002726882
0.08,0.04,0.09,219,100,130,9980,21,0.001044947,0.000477145,0.000651303,1.78506E-70,0.000477145,0.002173394
0.08,0.04,0.1,193,64,120,9980,21,0.000920889,0.000305373,0.000601202,1.51856E-74,0.000305373,0.001827464
0.08,0.05,0.01,873,447,28,9980,21,0.004165474,0.002132837,0.000140281,8.09304E-57,0.002132837,0.006438591
0.08,0.05,0.02,578,310,78,9980,21,0.002757897,0.001479149,0.000390782,3.71748E-60,0.001479149,0.004627827
0.08,0.05,0.03,512,261,104,9980,21,0.002442981,0.001245348,0.000521042,1.00255E-61,0.001245348,0.004209371
0.08,0.05,0.04,433,216,110,9980,21,0.002066037,0.001030633,0.000551102,1.88444E-63,0.001030633,0.003647772
0.08,0.05,0.05,361,186,99,9980,21,0.001722493,0.000887489,0.000495992,8.15502E-65,0.000887489,0.003105974
0.08,0.05,0.06,312,166,108,9980,21,0.001488692,0.00079206,0.000541082,7.48037E-66,0.00079206,0.002821834
0.08,0.05,0.07,269,142,93,9980,21,0.001283519,0.000677546,0.000465932,2.81649E-67,0.000677546,0.002426997
