p_s,p_d,d,S,D,I,K1,k,S_norm,D_norm,I_norm,a,b,c
0.04,0.09,0.04,168,481,110,9980,21,0.000801603,0.002295066,0.000551102,3.77312E-56,0.002295066,0.003647772
0.04,0.09,0.05,152,395,99,9980,21,0.00072526,0.001884722,0.000495992,6.02827E-58,0.001884722,0.003105974
0.04,0.09,0.06,137,341,108,9980,21,0.000653688,0.001627064,0.000541082,2.75103E-59,0.001627064,0.002821834
0.04,0.09,0.07,127,284,93,9980,21,0.000605974,0.001355091,0.000465932,5.90661E-61,0.001355091,0.002426997
0.04,0.09,0.08,122,259,108,9980,21,0.000582117,0.001235805,0.000541082,8.52999E-62,0.001235805,0.002359004
0.04,0.09,0.09,119,174,96,9980,21,0.000567802,0.000830232,0.000480962,2.00996E-65,0.000830232,0.001878996
0.04,0.09,0.1,107,122,90,9980,21,0.000510545,0.000582117,0.000450902,1.16201E-68,0.000582117,0.001543563
0.04,0.1,0.01,307,802,17,9980,21,0.001464834,0.003826701,8.52E-05,1.73506E-51,0.003826701,0.005376706
0.04,0.1,0.02,221,542,61,9980,21,0.00105449,0.002586125,0.000305611,4.63061E-55,0.002586125,0.003946226
0.04,0.1,0.03,186,451,73,9980,21,0.000887489,0.002151923,0.000365731,9.758E-57,0.002151923,0.003405144
0.04,0.1,0.04,141,386,86,9980,21,0.000672774,0.001841779,0.000430862,3.71524E-58,0.001841779,0.002945415
0.04,0.1,0.05,129,328,76,9980,21,0.000615517,0.001565035,0.000380762,1.2162E-59,0.001565035,0.002561313
0.04,0.1,0.06,117,279,89,9980,21,0.000558259,0.001331234,0.000445892,4.06763E-61,0.001331234,0.002335385
0.04,0.1,0.07,107,245,74,9980,21,0.000510545,0.001169005,0.000370741,2.65547E-62,0.001169005,0.002050291
0.04,0.1,0.08,102,223,91,9980,21,0.000486688,0.001064033,0.000455912,3.68176E-63,0.001064033,0.002006632
0.04,0.1,0.09,99,143,79,9980,21,0.000472373,0.000682317,0.000395792,3.2637E-67,0.000682317,0.001550482
0.04,0.1,0.1,93,109,72,9980,21,0.000443745,0.000520088,0.000360721,1.09046E-69,0.000520088,0.001324554
0.05,0.01,0.01,2204,547,405,9980,21,0.010516271,0.002609982,0.002029058,5.61549E-55,0.002609982,0.015155311
0.05,0.01,0.02,1664,354,696,9980,21,0.007939689,0.001689092,0.003486974,6.03562E-59,0.001689092,0.013115755
0.05,0.01,0.03,1411,271,776,9980,21,0.006732513,0.001293062,0.003887776,2.20805E-61,0.001293062,0.011913351
0.05,0.01,0.04,1104,253,739,9980,21,0.005267678,0.001207176,0.003702405,5.21416E-62,0.001207176,0.010177259
0.05,0.01,0.05,919,213,808,9980,21,0.00438496,0.001016318,0.004048096,1.40483E-63,0.001016318,0.009449375
0.05,0.01,0.06,752,182,803,9980,21,0.003588129,0.000868403,0.004023046,5.16598E-65,0.000868403,0.008479578
0.05,0.01,0.07,587,159,721,9980,21,0.00280084,0.00075866,0.003612224,3.02687E-66,0.00075866,0.007171724
0.05,0.01,0.08,519,128,657,9980,21,0.002476381,0.000610745,0.003291583,3.18466E-68,0.000610745,0.00637871
0.05,0.01,0.09,422,76,653,9980,21,0.002013551,0.00036263,0.003271543,5.60711E-73,0.00036263,0.005647724
0.05,0.01,0.1,371,62,574,9980,21,0.001770207,0.00029583,0.002875752,7.79613E-75,0.00029583,0.004941788
0.05,0.02,0.01,1796,856,295,9980,21,0.00856952,0.004084359,0.001477956,6.81714E-51,0.004084359,0.014131835
0.05,0.02,0.02,1377,593,523,9980,21,0.006570283,0.002829468,0.00262024,3.06057E-54,0.002829468,0.012019992
0.05,0.02,0.03,1140,496,606,9980,21,0.00543945,0.002366638,0.003036072,7.19066E-56,0.002366638,0.010842161
0.05,0.02,0.04,898,455,575,9980,21,0.00428476,0.002171009,0.002880762,1.17461E-56,0.002171009,0.00933653
0.05,0.02,0.05,762,355,586,9980,21,0.003635843,0.001693864,0.002935872,6.40396E-59,0.001693864,0.008265579
0.05,0.02,0.06,607,290,554,9980,21,0.002896269,0.00138372,0.002775551,9.16245E-61,0.00138372,0.00705554
0.05,0.02,0.07,468,243,516,9980,21,0.002233038,0.001159462,0.00258517,2.23555E-62,0.001159462,0.00597767
0.05,0.02,0.08,429,207,485,9980,21,0.002046951,0.00098769,0.00242986,7.70958E-64,0.00098769,0.0054645
0.05,0.02,0.09,365,118,459,9980,21,0.001741578,0.000563031,0.002299599,5.77E-69,0.000563031,0.004604208
0.05,0.02,0.1,322,99,401,9980,21,0.001536406,0.000472373,0.002009018,1.44541E-70,0.000472373,0.004017797
0.05,0.03,0.01,1417,1053,200,9980,21,0.006761141,0.005024334,0.001002004,5.28019E-49,0.005024334,0.01278748
0.05,0.03,0.02,1066,715,397,9980,21,0.005086363,0.003411585,0.001988978,1.55625E-52,0.003411585,0.010486926
0.05,0.03,0.03,868,607,459,9980,21,0.004141617,0.002896269,0.002299599,4.99593E-54,0.002896269,0.009337484
0.05,0.03,0.04,709,559,429,9980,21,0.003382956,0.002667239,0.002149299,8.8573E-55,0.002667239,0.008199494
0.05,0.03,0.05,602,442,409,9980,21,0.002872411,0.00210898,0.002049098,6.3903E-57,0.00210898,0.00703049
0.05,0.03,0.06,483,389,401,9980,21,0.002304609,0.001856093,0.002009018,4.37114E-58,0.001856093,0.00616972
0.05,0.03,0.07,380,323,362,9980,21,0.00181315,0.001541178,0.001813627,8.80859E-60,0.001541178,0.005167955
0.05,0.03,0.08,348,286,375,9980,21,0.001660464,0.001364634,0.001878758,6.84447E-61,0.001364634,0.004903855
0.05,0.03,0.09,304,191,342,9980,21,0.00145052,0.000911347,0.001713427,1.42349E-64,0.000911347,0.004075293
0.05,0.03,0.1,277,159,311,9980,21,0.001321691,0.00075866,0.001558116,3.02687E-66,0.00075866,0.003638467
0.05,0.04,0.01,1182,1071,176,9980,21,0.005639851,0.00511022,0.000881764,7.53759E-49,0.00511022,0.011631835
0.05,0.04,0.02,902,717,320,9980,21,0.004303846,0.003421128,0.001603206,1.65027E-52,0.003421128,0.00932818
0.05,0.04,0.03,726,621,382,9980,21,0.003464071,0.002963069,0.001913828,8.06449E-54,0.002963069,0.008340968
0.05,0.04,0.04,593,564,345,9980,21,0.002829468,0.002691096,0.001728457,1.06786E-54,0.002691096,0.007249022
0.05,0.04,0.05,515,462,335,9980,21,0.002457296,0.002204409,0.001678357,1.61858E-56,0.002204409,0.006340061
0.05,0.04,0.06,407,407,330,9980,21,0.001941979,0.001941979,0.001653307,1.13015E-57,0.001941979,0.005537265
0.05,0.04,0.07,307,341,287,9980,21,0.001464834,0.001627064,0.001437876,2.75103E-59,0.001627064,0.004529774
0.05,0.04,0.08,275,289,309,9980,21,0.001312148,0.001378948,0.001548096,8.52134E-61,0.001378948,0.004239193
0.05,0.04,0.09,244,198,277,9980,21,0.001164233,0.000944747,0.001387776,3.03125E-64,0.000944747,0.003496755
0.05,0.04,0.1,224,168,260,9980,21,0.001068804,0.000801603,0.001302605,9.61941E-66,0.000801603,0.003173013
0.05,0.05,0.01,935,1031,112,9980,21,0.004461304,0.004919363,0.000561122,3.38911E-49,0.004919363,0.009941788
0.05,0.05,0.02,706,682,204,9980,21,0.003368642,0.003254127,0.001022044,5.76933E-53,0.003254127,0.007644813
0.05,0.05,0.03,562,573,257,9980,21,0.002681554,0.00273404,0.001287575,1.48902E-54,0.00273404,0.006703168
0.05,0.05,0.04,453,522,242,9980,21,0.002161466,0.002490696,0.001212425,2.10249E-55,0.002490696,0.005864586
0.05,0.05,0.05,383,432,250,9980,21,0.001827464,0.002061265,0.001252505,3.95196E-57,0.002061265,0.005141235
0.05,0.05,0.06,297,377,261,9980,21,0.00141712,0.001798836,0.001307615,2.26372E-58,0.001798836,0.004523571
0.05,0.05,0.07,237,322,232,9980,21,0.001130833,0.001536406,0.001162325,8.25328E-60,0.001536406,0.003829564
0.05,0.05,0.08,220,262,241,9980,21,0.001049718,0.001250119,0.001207415,1.08638E-61,0.001250119,0.003507253
0.05,0.05,0.09,199,171,215,9980,21,0.000949518,0.000815918,0.001077154,1.39499E-65,0.000815918,0.00284259
0.05,0.05,0.1,179,143,206,9980,21,0.000854089,0.000682317,0.001032064,3.2637E-67,0.000682317,0.00256847
0.05,0.06,0.01,727,965,56,9980,21,0.003468842,0.004604447,0.000280561,8.44748E-50,0.004604447,0.008353851
